study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,04_complex_manufacturing,,QA-001,What information is stored about products in the manufacturing system?,direct_mapping,unknown,True,1.0,0.8872045937171068,0,,adequate,0,True,"Products are tracked with a unique identifier (product_id), descriptive name (product_name), classification as finished good, assembly, or component (product_type), optional parent product reference for hierarchical structures (parent_product_id), standard unit cost (base_cost), typical procurement or production lead time (lead_time_days), and active status flag (is_active).","In the manufacturing system, product information is stored in the **`product`** table, which represents finished goods, assemblies, and components (manufactured items) with a hierarchical product structure.

Each row in **`product`** stores the following product attributes: **`product_id`** (VARCHAR(20), primary key), **`product_name`** (VARCHAR(100), NOT NULL), **`product_type`** (classified as `FINISHED_GOOD`, `ASSEMBLY`, or `COMPONENT`, NOT NULL with default `'FINISHED_GOOD'`), **`parent_product_id`** (VARCHAR(20), a self-referencing foreign key to `product(product_id)` to represent multi-level assemblies), **`base_cost`** (DECIMAL(10,2), NOT NULL, default 0.00, with CHECK `>= 0`), **`lead_time_days`** (INT, NOT NULL, default 0, with CHECK `>= 0`), and **`is_active`** (yes_no_t, NOT NULL, default `'Y'`).

The schema also supports hierarchical querying with an index **`idx_product_parent`** on **`parent_product_id`** (where not null), and the glossary describes that products are used in **BOMs** (parent/child composition), **work orders** (production jobs), **shipments** (outbound), and are represented in **inventory records**."
AB-BEST-K20,04_complex_manufacturing,,QA-002,How are components defined in the manufacturing database?,direct_mapping,unknown,True,1.0,0.7,0,,adequate,0,True,"Components are defined with a unique identifier (component_id), descriptive name (component_name), category grouping (component_category), unit of measure (unit_of_measure), standard unit cost (standard_cost), and optional reference to technical specifications (specification_id). Components represent atomic materials or parts that cannot be further decomposed.","In the manufacturing database, components are defined as atomic raw materials or purchased parts that cannot be further broken down into simpler manufactured items.

This is represented by the `component` table. The schema defines a component by `component_id` (primary key) and `component_name` (NOT NULL). Components are categorized using `component_category`, and measured using `unit_of_measure` (NOT NULL, default `'EA'`). They also have a procurement cost via `standard_cost` (NOT NULL, default `0.00`, with `CHECK >= 0`) and may reference an optional technical specification through `specification_id`.

From the business glossary, components are the building blocks used in manufacturing and are procured from external suppliers, and they may be associated with technical specifications that define quality requirements. The database also relates components to inventory via `inventory.component_id` (inventory supports either `component_id` or `product_id`, enforced by an exclusion constraint)."
AB-BEST-K20,04_complex_manufacturing,,QA-003,What is the purpose of the Bill of Materials (BOM) table?,direct_mapping,unknown,True,1.0,0.9118099551992372,0,,adequate,0,True,"The BOM table defines the hierarchical structure of products by specifying which components or sub-assemblies are required to manufacture each parent product. It records the unique BOM entry identifier (bom_id), parent product being built (parent_product_id), component or sub-assembly product (component_product_id), required quantity per unit (quantity), unit of measure, depth level in the hierarchy (bom_level), and whether the component is optional (is_optional).","The Bill of Materials (BOM) table’s purpose is to define the **composition and hierarchical structure** of products in the manufacturing supply chain.

In particular, each BOM entry specifies the **parent product** (the item being built) and the **component product** (what goes into it), along with the **required quantity**, **unit of measure**, the **BOM hierarchy level (bom_level)** to represent depth in a multi-level product structure, and whether the component is **optional** (is_optional). The table supports recursive relationships via its two foreign keys to the **product** table so BOMs can represent **multi-level assemblies** (e.g., Bicycle → Wheel → Spoke) and enable **hierarchical product explosions** for material requirements planning."
AB-BEST-K20,04_complex_manufacturing,,QA-004,What supplier information does the system maintain?,direct_mapping,unknown,True,1.0,0.7,0,,adequate,0,True,"Suppliers are tracked with a unique identifier (supplier_id), legal business name (supplier_name), primary contact email (contact_email), primary contact phone number (contact_phone), performance rating from 1.0 to 5.0 (rating), and preferred supplier status flag (is_preferred).","The system maintains supplier information in the `supplier` table. For each supplier, it stores a unique `supplier_id`, the `supplier_name`, contact details `contact_email` and `contact_phone`, a `rating` (1.0 to 5.0 scale, with default 3.00), and a preferred-supplier flag `is_preferred` (default 'N')."
AB-BEST-K20,04_complex_manufacturing,,QA-005,How are warehouses represented in the schema?,direct_mapping,unknown,True,1.0,0.7,0,,adequate,0,True,"Warehouses are defined with a unique identifier (warehouse_id), descriptive name (warehouse_name), full street address (address), city location (city), state or province (state), total storage capacity in cubic meters (capacity), and optional manager identifier (manager_id).","Warehouses are represented by the **`warehouse`** table.

Structurally, **`warehouse`** has these columns: **`warehouse_id`** (VARCHAR(20), PRIMARY KEY), **`warehouse_name`** (VARCHAR(100), NOT NULL), **`address`** (VARCHAR(200)), **`city`** (VARCHAR(50)), **`state`** (VARCHAR(50)), **`capacity`** (INT, NOT NULL, DEFAULT 0, CHECK > 0), and **`manager_id`** (VARCHAR(20)).

In the schema, warehouses relate to other entities via one-to-many relationships and foreign keys:
**`inventory.warehouse_id`** → **`warehouse.warehouse_id`**, **`shipment.warehouse_id`** → **`warehouse.warehouse_id`**, **`work_order.warehouse_id`** → **`warehouse.warehouse_id`**, and **`batch.warehouse_id`** → **`warehouse.warehouse_id`** (described as one-to-many with inventory, shipment, work orders, and batches)."
AB-BEST-K20,04_complex_manufacturing,,QA-006,What does the inventory table track?,direct_mapping,unknown,True,1.0,0.9568766292846294,0,,adequate,0,True,"The inventory table tracks real-time stock levels including a unique record identifier (inventory_id), warehouse location (warehouse_id), component identifier for materials (component_id) or product identifier for finished goods (product_id), current physical stock quantity (quantity_on_hand), quantity reserved for open work orders (quantity_reserved), threshold that triggers purchase orders (reorder_threshold), and most recent restock date (last_restock_date).","The `inventory` table tracks stock levels of components and products at specific warehouse locations.

For each inventory record (identified by `inventory_id`), it records `warehouse_id` (the warehouse where the stock is held) and either a `component_id` or a `product_id` (mutually exclusive via `chk_inventory_item`). It also tracks `quantity_on_hand` (available quantity), `quantity_reserved` (reserved for pending orders), a `reorder_threshold` (level that triggers replenishment/procurement), and `last_restock_date` (date of the last restock)."
AB-BEST-K20,04_complex_manufacturing,,QA-007,How are work orders structured in the manufacturing system?,direct_mapping,unknown,True,1.0,0.8590736431530852,0,,adequate,0,True,"Work orders represent production jobs with a unique identifier (work_order_id), product to be manufactured (product_id), optional parent work order for nested hierarchies (parent_work_order), quantity to produce (quantity_ordered), quantity completed so far (quantity_completed), current status (PENDING, IN_PROGRESS, COMPLETED, CLOSED), priority level (LOW, MEDIUM, HIGH, URGENT), planned start and end dates, and warehouse production location (warehouse_id).","Work orders are structured in the manufacturing system around the **`work_order`** table, which represents production jobs with optional hierarchical decomposition.

Each **`work_order`** has a unique **`work_order_id`** and is tied to the product to manufacture via **`product_id`** (a **NOT NULL** foreign key to `product(product_id)`). Work orders can also be decomposed into sub-orders using the self-referential foreign key **`parent_work_order`** (references `work_order(work_order_id)`), enabling a “parent work order” broken into child work orders for different stages or sub-assemblies.

A work order includes planning/tracking fields: **`quantity_ordered`** (NOT NULL, default `0.00`, must be **> 0**) and **`quantity_completed`** (NOT NULL, default `0.00`, must be **>= 0** and **<= quantity_ordered**). Its production lifecycle is stored in **`status`** (NOT NULL, default `'PENDING'`), limited to **`PENDING`, `IN_PROGRESS`, `COMPLETED`, `CLOSED`**. Priority is stored in **`priority`** (NOT NULL, default `'MEDIUM'`) with values **`LOW`, `MEDIUM`, `HIGH`, `URGENT`**.

Scheduling uses **`planned_start_date`** and **`planned_end_date`**, with constraint **`chk_dates_consistent`** enforcing **planned_end_date >= planned_start_date**. Finally, the production location is specified by **`warehouse_id`** (foreign key to `warehouse(warehouse_id)`), which indicates where the work order is staged."
AB-BEST-K20,04_complex_manufacturing,,QA-008,What information is captured in the shipment table?,direct_mapping,unknown,True,1.0,0.9555685679752156,0,,adequate,0,True,"Shipments track material transfers with a unique identifier (shipment_id), shipment type (INBOUND from suppliers, OUTBOUND to customers, INTERNAL between warehouses), destination warehouse (warehouse_id), source supplier for inbound (supplier_id), destination customer for outbound (customer_id), ship date, estimated and actual arrival dates, and current status (PENDING, SHIPPED, DELIVERED, CANCELLED).","The `shipment` table tracks material transfers between warehouses, suppliers, and customers, capturing identifiers, participants/locations, dates, and current status.

It includes these fields: `shipment_id` (primary key, unique shipment identifier), `shipment_type` (NOT NULL; `INBOUND`, `OUTBOUND`, or `INTERNAL`), `warehouse_id` (foreign key to `warehouse.warehouse_id`), `supplier_id` (foreign key to `supplier.supplier_id`; described as “Supplier (inbound only)”), and `customer_id` (customer reference used for outbound shipments). For timing, it captures `ship_date` (DATE, NOT NULL), `estimated_arrival` (DATE), and `actual_arrival` (DATE). For tracking progress, it stores `status` (shipment_status, NOT NULL default `PENDING`; values `PENDING`, `SHIPPED`, `DELIVERED`, `CANCELLED`)."
AB-BEST-K20,04_complex_manufacturing,,QA-009,How does the quality control system record inspections?,direct_mapping,unknown,True,1.0,0.9852145923076094,0,,adequate,0,True,"Quality control records are stored with a unique identifier (qc_id), associated production batch (batch_id), applicable specification requirements (specification_id), inspection date (qc_date), inspection type (INCOMING for supplier materials, IN_PROCESS during manufacturing, FINAL for finished goods), inspector identifier (inspector_id), inspection result (PASS, FAIL, CONDITIONAL), number of defects found (defect_count), and detailed observations (notes).","The quality control system records inspections in the `QUALITY_CONTROL` table. Each record (identified by `qc_id`) captures the inspection/testing details including the associated production batch (`batch_id`), the specification being tested (`specification_id`), and the inspection date (`qc_date`, NOT NULL).

It also records the inspection type in `qc_type` (NOT NULL) with valid values `INCOMING`, `IN_PROCESS`, or `FINAL`, and the inspector in `inspector_id`. The inspection outcome is stored in `result` (NOT NULL) with values `PASS`, `FAIL`, or `CONDITIONAL`.

Additional inspection results data includes `defect_count` (NOT NULL, default 0, must be >= 0) and free-text `notes`."
AB-BEST-K20,04_complex_manufacturing,,QA-010,What do specification records define?,direct_mapping,unknown,True,1.0,0.7558172719084016,0,,adequate,0,True,"Specifications define technical requirements with a unique identifier (specification_id), descriptive name (specification_name), version number, effective date, specification type (DIMENSIONAL, MATERIAL, PERFORMANCE), critical parameter being measured (critical_parameter), acceptable minimum value (min_value), acceptable maximum value (max_value), and unit of measure for the parameter values.","Specification records define technical requirements, standards, and acceptance criteria for materials, products, or processes.

In the context, the `SPECIFICATION`/`specification` concept includes specifications with version numbers and effective dates, and a specification type (`DIMENSIONAL`, `MATERIAL`, `PERFORMANCE`). Each record also defines the critical parameter to test, the minimum and maximum acceptable values for that parameter, and the unit of measure for testing. These specifications “ensure manufactured products meet engineering and customer requirements” and are “used in Quality Control inspections.”"
