study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,03_advanced_healthcare,,Q001,What tables store information about patients?,concept_lookup,simple,True,1.0,0.9425067211996143,0,,adequate,0,True,"The patients table stores demographic and administrative information including MRN, name, date of birth, gender, contact details, and emergency contacts. Additionally, patient-related data is stored in diagnoses, treatments, medications, lab_results, appointments, and claims tables through foreign key relationships.","Patient-related information is stored primarily in **`PATIENTS`** (demographic and administrative patient records, including identifiers, contact info, primary insurance, and validity/audit timestamps).

Patient-linked clinical/administrative information is also stored in these tables via `patient_id` (FK → `patients.patient_id`): **`APPOINTMENTS`** (scheduling/encounter details), **`CLAIMS`** (insurance claims and billing info), **`MEDICATIONS`** (prescriptions and administrations), **`TREATMENTS`** (medical treatments/procedures), **`DIAGNOSES`** (ICD-10 diagnosis records), and **`LAB_RESULTS`** (laboratory test results)."
AB-BEST-K20,03_advanced_healthcare,,Q002,How are medical diagnoses coded and classified?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"Diagnoses are stored in the diagnoses table with ICD-10-CM codes (icd_10_code field). They are classified into four types: 'principal' (primary condition), 'comorbidity' (additional conditions), 'admitting' (condition causing admission), and 'secondary'. Each diagnosis includes the diagnosis name, type, the provider who made it, diagnosis date, and optional resolution date.","Medical diagnoses are coded and classified in the `DIAGNOSES` table.

They are coded using the ICD-10-CM code stored in `DIAGNOSES.icd_10_code` (`VARCHAR(10)`, `NOT NULL`). This ICD-10-CM coding is used “for billing and epidemiological purposes.”

They are classified using `DIAGNOSES.diagnosis_type` (`VARCHAR(20)` with a `CHECK` constraint of `('principal', 'comorbidity', 'admitting', 'secondary')`). In the business glossary, this classification corresponds to clinical priority/meaning: `principal` is the primary condition chiefly responsible for admission (drives the primary DRG for billing), `comorbidity` is any additional concurrent diagnosis that affects complexity and risk-adjusted reimbursement, and the other types (`admitting`, `secondary`) are additional classification categories for how diagnoses relate to an encounter."
AB-BEST-K20,03_advanced_healthcare,,Q003,What information is tracked for medications prescribed to patients?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"The medications table tracks medication name, National Drug Code (NDC), dosage, route of administration (oral, IV, IM, topical, inhaled, subcutaneous), frequency, prescribing provider, start date, and end date. Active medications have a NULL end_date. The table uses temporal historization with valid_from and valid_to timestamps.","Medications prescribed to patients are tracked in the **MEDICATIONS** table, whose purpose is to “store patient medication prescriptions and administrations.”

Each medication record is identified by **MEDICATIONS.medication_id** (primary key). The table links each medication to the patient via **MEDICATIONS.patient_id** (a NOT NULL foreign key to **patients.patient_id**). It stores the medication details including **MEDICATIONS.medication_name** (NOT NULL) and **MEDICATIONS.ndc_code** (National Drug Code). It also tracks clinical administration and dosing information: **MEDICATIONS.dosage** (NOT NULL), **MEDICATIONS.route** (administration route, constrained to CHECK IN values such as ‘oral’, ‘IV’, ‘IM’, ‘topical’, ‘inhaled’, ‘subcutaneous’; described as nullable in the schema), and **MEDICATIONS.frequency** (NOT NULL, e.g., ‘BID’, ‘TID’, ‘PRN’).

The provider who prescribed the medication is captured in **MEDICATIONS.prescribing_provider_id** (NOT NULL foreign key to **providers.provider_id**). Timing for therapy is tracked with **MEDICATIONS.start_date** (NOT NULL) and **MEDICATIONS.end_date** (an end date that can be NULL if therapy is ongoing).

For lifecycle and governance, the table includes **MEDICATIONS.is_deleted** (soft delete flag, default FALSE) and historization fields **MEDICATIONS.valid_from** (default CURRENT_TIMESTAMP) and **MEDICATIONS.valid_to** (record validity end timestamp), plus audit timestamps **MEDICATIONS.created_at** and **MEDICATIONS.updated_at** (both default CURRENT_TIMESTAMP). The business rules in the context state that medication reconciliation is required on admission and discharge, active medications have **NULL end_date** and **is_deleted = FALSE**, and prescription changes create new records (historization)."
AB-BEST-K20,03_advanced_healthcare,,Q004,How are healthcare providers organized and tracked?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"Providers are stored in the providers table with a unique National Provider Identifier (NPI), name, provider type (MD, DO, NP, PA, RN, PT, Other), specialty, and department affiliation. Providers have is_active and is_deleted flags for status tracking. The table uses temporal historization to track credential and affiliation changes over time.","Healthcare providers are organized and tracked primarily through two schema elements: the `PROVIDERS` table and the `DEPARTMENTS` table (with a hierarchical department structure).

In `PROVIDERS`, each provider record stores identifying and credential information and key tracking fields. Providers have non-null `first_name` and `last_name`, and a non-null `npi` that is UNIQUE. Providers are also classified by `provider_type` (constrained to `('MD','DO','NP','PA','RN','PT','Other')`) and `specialty`, and they are assigned to a department via `department_id`, which is a foreign key to `departments.department_id`. The table supports tracking through lifecycle and audit columns: `is_active` (provider active status, with `DEFAULT TRUE`), `is_deleted` (soft delete flag, with `DEFAULT FALSE`), and a validity window using `valid_from` and `valid_to`. Audit timestamps are captured via `created_at` and `updated_at` (and `updated_at` is nullable in the column list).

Department organization is hierarchical. The `DEPARTMENTS` table has `parent_department_id` as a foreign key back to `departments.department_id` (self-referential), enabling parent/child organization. Each department can also be tracked similarly with `is_active`, `is_deleted`, and validity windows (`valid_from`, `valid_to`).

Providers are also tracked through their usage in clinical and operational records that link back to `PROVIDERS` via provider foreign keys, including `diagnoses.provider_id`, `treatments.provider_id`, `medications.prescribing_provider_id`, `lab_results.ordering_provider_id`, and `appointments.provider_id`. This means you can trace from diagnoses/treatments/medications/lab results/appointments back to the provider and then to the provider’s department via `PROVIDERS.department_id`.

Finally, the `PROVIDERS` business rule notes that providers “may have privileges in multiple departments,” while the schema shown includes a `department_id` field described as a “Primary department affiliation.”"
AB-BEST-K20,03_advanced_healthcare,,Q005,What is the structure of departments and how do they relate to each other?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"Departments are stored in the departments table with department_name, department_code, parent_department_id (self-referential foreign key for hierarchy), service_line (strategic grouping), and location. Departments can have parent departments creating a hierarchical structure (e.g., Cardiology as a child of Internal Medicine). Each department has is_active and is_deleted flags.","Departments are represented by the **`DEPARTMENTS`** table, which stores organizational department and service line structure for the healthcare facility.

The **department record structure** in `DEPARTMENTS` includes:
`department_id` (INTEGER, PRIMARY KEY), `department_name` (VARCHAR(100), NOT NULL), `department_code` (VARCHAR(20), UNIQUE NOT NULL), `service_line` (VARCHAR(100)), `location` (VARCHAR(100)), `is_active` (BOOLEAN, DEFAULT TRUE), `is_deleted` (BOOLEAN, DEFAULT FALSE), `parent_department_id` (INTEGER, FK → `departments.department_id`), and lifecycle fields `valid_from` (TIMESTAMP, DEFAULT CURRENT_TIMESTAMP), `valid_to` (TIMESTAMP), `created_at` (TIMESTAMP, DEFAULT CURRENT_TIMESTAMP), `updated_at` (TIMESTAMP, DEFAULT CURRENT_TIMESTAMP).

**How departments relate to each other:** `DEPARTMENTS.parent_department_id` is a self-referential foreign key that points to another row’s `department_id` in the same table. This supports a **hierarchical department structure**, where one department can act as the **parent** of another, enabling reporting and subdivision into sub-specialties.

Additionally, the business rules state that **department codes** are used for scheduling and billing, and **service lines** group departments for strategic planning."
AB-BEST-K20,03_advanced_healthcare,,Q006,How are insurance plans and payers represented in the system?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"The insurance_plans table stores plan_name, payer_name (insurance company), plan_type (commercial, medicare, medicaid, tricare, self_pay), and prior_auth_required flag. Plans have is_active status and use temporal historization. The patients table references insurance_plans via primary_insurance_id foreign key for primary coverage.","In the system, insurance plans (and the payer behind them) are represented by the `INSURANCE_PLANS` table.

`INSURANCE_PLANS` stores payer and plan identifiers and naming, including `PLAN_ID` (the plan’s key) plus `PAYER_NAME` (payer name) and `PLAN_NAME` (plan name), and also a `PLAN_TYPE`. It also stores payer configuration and validity/audit fields such as `PRIOR_AUTH_REQUIRED` (prior authorization requirement), `VALID_TO` (validity window end), and `IS_DELETED` (soft-delete indicator), along with lifecycle timestamps like `UPDATED_AT`.

Links to operational records are modeled with foreign keys:
`patients.primary_insurance_id` → `insurance_plans.plan_id` (patient’s primary insurance coverage), and `claims.insurance_plan_id` → `insurance_plans.plan_id` (which insurance plan is billed on a claim)."
AB-BEST-K20,03_advanced_healthcare,,Q007,What constitutes an insurance claim and what is its lifecycle?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"Claims are stored in the claims table with claim_number (unique identifier), patient_id, insurance_plan_id, service_date, submission_date, CPT code (procedure), ICD-10 code (diagnosis), amounts (charged, allowed, paid), and claim_status. Status workflow includes: submitted → pending → approved/denied/partially_paid → appealed. Denied claims include denial_reason.","An insurance claim is a formal request for payment submitted to an insurance payer for medical services rendered to an insured patient. Claims include procedure codes (CPT/HCPCS), diagnosis codes (ICD-10), modifiers, and charges.

In the schema, insurance claims are stored in the **`CLAIMS`** table. It captures core claim attributes such as **`patient_id`**, **`insurance_plan_id`**, **`claim_number`**, **`service_date`**, **`submission_date`**, **`cpt_code`**, **`icd_10_code`**, and billing/paid amounts (**`amount_charged`**, **`amount_allowed`**, **`amount_paid`**).

The claim’s lifecycle has two parts:

First, the claim’s payer-processing lifecycle is represented by **`CLAIMS.claim_status`**, which is constrained to one of: **`submitted`**, **`pending`**, **`approved`**, **`denied`**, **`partially_paid`**, **`appealed`**. If a claim is **denied**, the schema includes **`denial_reason`**, and the business rules state that denial reasons trigger appeal workflows when clinically appropriate.

Second, the claim record’s data lifecycle over time is managed with **historization** using **`valid_from`** and **`valid_to`** (allowing reconstruction of historical claim states) and **soft delete** via **`is_deleted`** (default **FALSE**), preserving audit history instead of physically removing the record."
AB-BEST-K20,03_advanced_healthcare,,Q008,How are patient appointments scheduled and tracked?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"The appointments table stores patient_id, provider_id, department_id, appointment_date, appointment_time, appointment_type (new_patient, established, consultation, follow_up, procedure, telehealth), duration_minutes, and appointment_status. Status workflow: scheduled → confirmed → checked_in → in_progress → completed/canceled/no_show. Canceled appointments require cancellation_reason.","Patient appointments are scheduled and tracked in the **`APPOINTMENTS`** table, which stores both the scheduling details and the encounter lifecycle.

For scheduling, an appointment record has a unique **`appointment_id`** and is tied to the involved entities through **`patient_id`** (FK to `patients.patient_id`, NOT NULL), **`provider_id`** (FK to `providers.provider_id`, NOT NULL), and optionally a **`department_id`** (FK to `departments.department_id`). The scheduled time is captured by **`appointment_date`** (NOT NULL) and **`appointment_time`** (NOT NULL). The kind of visit is categorized by **`appointment_type`**, which is constrained to one of: `new_patient`, `established`, `consultation`, `follow_up`, `procedure`, `telehealth`. The expected duration is stored in **`duration_minutes`** with a default of 30.

For tracking, the current state of the appointment is stored in **`appointment_status`**, constrained to: `scheduled`, `confirmed`, `checked_in`, `in_progress`, `completed`, `canceled`, `no_show`. The table includes operational requirements for lifecycle management: the **appointment status workflow must follow state transitions**, **cancellations require documented reasons** (captured in **`cancellation_reason`** when the appointment is canceled), and **no-show tracking** is supported via the `no_show` status for patient attendance metrics.

To preserve history and support auditing, each appointment row is historized using **`valid_from`** (default current timestamp) and **`valid_to`**, and it includes audit timestamps **`created_at`** and **`updated_at`**. Appointments are also soft-deleted using **`is_deleted`** (default `FALSE`). The design supports common retrieval patterns with indexes filtered to active records (`WHERE is_deleted = FALSE`) on `patient_id`, `provider_id`, appointment date/time, appointment status, and validity (`valid_from`, `valid_to`)."
AB-BEST-K20,03_advanced_healthcare,,Q009,What information is captured in laboratory test results?,concept_lookup,simple,True,1.0,0.8647679192064821,0,,adequate,0,True,"Lab results are stored in the lab_results table with test_name, LOINC code (Logical Observation Identifiers Names and Codes), test_value, unit of measurement, reference_range, is_abnormal flag, ordering_provider_id, result_date, and notes. The is_abnormal flag is automatically set when results fall outside the reference range. Abnormal results are indexed for quick clinical follow-up.","Laboratory test results are stored in the `LAB_RESULTS` table to capture the outcome of diagnostic laboratory tests performed on patient specimens (such as blood, urine, or tissue). The results include quantitative test values (`test_value`), the test’s name (`test_name`) and optional standardized code (`loinc_code`), units of measurement (`unit`), and the expected reference range (`reference_range`).

They also capture whether the result is abnormal via an abnormality flag (`is_abnormal`, default `FALSE`), and they include interpretation notes (`notes`). Each result is associated to the provider who ordered the test (`ordering_provider_id`) and the date the test was performed/resulted (`result_date`).

The table also records validity and audit metadata, including `valid_from` (default `CURRENT_TIMESTAMP`), optional `valid_to`, `created_at`, `updated_at`, plus a soft-delete flag `is_deleted` to indicate whether the record is logically deleted."
AB-BEST-K20,03_advanced_healthcare,,Q010,How are medical treatments and procedures documented?,concept_lookup,simple,True,1.0,0.7,0,,adequate,0,True,"The treatments table stores patient_id, diagnosis_id (for clinical justification), treatment_name, CPT code (for billing), provider_id, department_id, treatment_date, treatment_status (scheduled, completed, canceled, in_progress), and clinical notes. Treatments link to both providers and departments, and must reference a diagnosis for medical necessity documentation.","Medical treatments and procedures are documented in the `TREATMENTS` table, which stores medical treatment/procedure events performed on patients.

In `TREATMENTS`, each record includes `patient_id` (FK to `patients.patient_id`, NOT NULL), `diagnosis_id` (linked for clinical justification), `provider_id` (FK to `providers.provider_id`, NOT NULL), and `department_id` (FK to `departments.department_id`). Treatment/procedure details are captured in `treatment_name` (VARCHAR(255), NOT NULL) and an optional `cpt_code` (VARCHAR(10)) for billing. The when/what status is documented with `treatment_date` (DATE, NOT NULL) and `treatment_status` constrained to `('scheduled', 'completed', 'canceled', 'in_progress')`. Clinical narrative can be stored in `notes` (TEXT, nullable). 

It also supports lifecycle and auditing/immutability through `is_deleted` (soft delete flag, default FALSE), and time-bounded historization fields `valid_from` (TIMESTAMP, default CURRENT_TIMESTAMP) and `valid_to` (TIMESTAMP), plus `created_at` and `updated_at` timestamps. Business rules specify that treatments “must link to a diagnosis for clinical justification,” and that “CPT codes required for billable procedures.”"
