study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,05_edgecases_incomplete,,ec_001,What is a customer?,missing_definition,unknown,True,1.0,0.980129286039598,0,,adequate,0,True,"The business glossary defines Customer as ""an individual or organization that... [definition incomplete]"". Related terms include Client (a person or company that purchases goods or services, sometimes used interchangeably with Customer), Account Holder (the primary owner of an account), and End User (the actual user, who may differ from the purchaser).","In the retrieved context, a **Customer** is defined as “**An individual or organization that…**” (definition incomplete).

The business glossary also notes that the term **Client** “**may be used interchangeably with Customer in some contexts**,” and defines a client as “**a person or company that purchases goods or services**.”"
AB-BEST,05_edgecases_incomplete,,ec_002,What's the difference between firstName and first_name in the CUSTOMERS table?,duplicate_columns,unknown,True,1.0,0.9110215117615452,0,,adequate,0,True,"Both columns exist in the CUSTOMERS table with identical VARCHAR(50) data types. The data dictionary notes they appear to be duplicates resulting from inconsistent naming conventions (snake_case vs camelCase), but the actual usage by the application is not documented.","In the `CUSTOMERS` table, `firstName` (listed as `firstName`) and `first_name` (listed as `first_name`) both store the customer’s first name, and the documentation flags them as likely duplicate/legacy columns caused by naming inconsistency.

Specifically, `CUSTOMERS.FIRST_NAME` is described as “First Name” (column in table `CUSTOMERS`: stores customer identifiers, contact details, account status, type, regional information), and `CUSTOMERS.FIRSTNAME` is described the same way (“First Name”), with both marked as `VARCHAR` and nullable in the attribute entries. The data dictionary notes: “Naming convention inconsistency discovered during audit” and “Some columns may be legacy duplicates,” which is the only stated “difference” supported by the retrieved context."
AB-BEST,05_edgecases_incomplete,,ec_003,Which customer column should be used as a foreign key reference: customer_id or CustomerID?,conflicting_references,unknown,True,1.0,0.9257686295391643,0,,adequate,0,True,"The CUSTOMERS table has both customer_id (defined as PRIMARY KEY) and CustomerID (defined as INTEGER with no constraints). The ORDERS table also has both customer_id and CustomerID columns with ambiguous FK references. The data dictionary indicates this inconsistency is documented but not yet resolved, pending verification with the DBA team.","Use **CUSTOMERS.customer_id** (the **CUSTOMERS.CUSTOMER_ID (INT, NOT NULL)** column), not **CustomerID**.

In the retrieved context, **ORDERS.CUSTOMER_ID** is explicitly described as an attribute “Customer ID” and **PAYMENTS.CUSTOMER_ID** is also defined, and both align with **CUSTOMERS.CUSTOMER_ID** as the primary key (**CUSTOMERS.CUSTOMER_ID (INT, NOT NULL)**). The only competing “CustomerID” naming appears as a possible duplicate/legacy field (**CUSTOMERS.CustomerID** / **CUSTOMERS.CUSTOMERSID: CUSTOMERS [attribute]**) with a note to “check with DBA before cleanup,” so the foreign key target should be **CUSTOMER_ID**."
AB-BEST,05_edgecases_incomplete,,ec_004,What are the valid values for order_status?,missing_constraint,unknown,True,1.0,0.7228205970230486,0,,adequate,0,True,"The business glossary documents several order statuses: Pending, Processing, Completed, Cancelled, On Hold, and Failed (which is marked as [definition missing]). However, these are not enforced by a CHECK constraint in the schema, and the data dictionary notes that valid values reference '[missing documentation]'.","I cannot find this information in the knowledge graph.

In the retrieved context, `ORDERS.ORDER_STATUS` is defined only as `VARCHAR` and nullable, described as “Order Status” used to track order transactions and fulfillment activity. The context does not list any valid/allowed values (e.g., an enum or reference table), and it also notes that “Order status workflow complete?” is pending clarification."
AB-BEST,05_edgecases_incomplete,,ec_005,"Is there a difference between Product, Item, and SKU?",ambiguous_synonyms,unknown,True,1.0,0.7,0,,adequate,0,True,"The glossary indicates these terms are related but distinct: Product is defined as ""A thing that is... [definition needs clarification]""; Item is a synonym for Product used in inventory context; SKU (Stock Keeping Unit) is a unique identifier for a product variant; Inventory Item refers to physical products in stock; and Merchandise is described as goods available for sale, similar to Product. The exact distinctions are not clearly defined.","Yes. Based on the provided glossary:

Product is described only as “A thing that is...” with the definition marked as needing clarification, but it is the base catalog concept.

Item is explicitly stated to be a synonym for Product, and it’s “used in inventory context.” So “Item” and “Product” are treated as the same kind of thing, just discussed in different contexts.

SKU (Stock Keeping Unit) is “a unique identifier for a product variant.” In other words, a SKU is an identifier that distinguishes variants of a Product/Item.

The schema also reflects this: the `PRODUCTS` table includes SKU-related columns such as `SKU` / `PRODUCT_SKU` (both documented as storing identifiers including SKUs), plus stock-related fields like `STOCK_QUANTITY`."
AB-BEST,05_edgecases_incomplete,,ec_006,Which table should ORDER_ITEMS.product_id reference: PRODUCTS or INVENTORY?,ambiguous_reference,unknown,True,1.0,0.9641193044741588,0,,adequate,0,True,The data dictionary states the FK reference is to 'PRODUCTS (or INVENTORY?)' and notes it is 'not verified'. The schema provides two potential targets: PRODUCTS table (which has product_id) and an INVENTORY table that is referenced in documentation but not defined in the DDL. The actual relationship cannot be determined from the available documentation.,"Based on the retrieved context, `ORDER_ITEMS.product_id` should reference `PRODUCTS` (not `INVENTORY`).

The context explicitly describes `ORDER_ITEMS.PRODUCT_ID` as a “Product ID” and says `ORDER_ITEMS` “stores… product references” ([2]). It also shows `PRODUCTS` has a product identifier column `PRODUCTS.PRODUCTID` ([5]). While the initial FK summary mentions “FK to PRODUCTS (or INVENTORY?) not verified” ([1]), there is no confirmed foreign-key relationship to an `INVENTORY` table in the provided context, whereas the `PRODUCTS` reference is directly supported by the schema details for `ORDER_ITEMS` and `PRODUCTS`."
AB-BEST,05_edgecases_incomplete,,ec_007,What's the difference between Revenue and Sales?,circular_definition,unknown,True,0.0,0.7,0,,adequate,0,True,"Both terms show circular definitions: Revenue is defined as 'Income from sales. The same as... [definition circular, see Sales]', while Sales is defined as 'Revenue from selling products. See Revenue.' The glossary provides no clear distinction between these concepts.","In the **BUSINESS GLOSSARY – Enterprise System** (chunk [2]), **Revenue** is defined as “Income from sales” and it explicitly states “The same as…” with the definition effectively circular/unfinished.

In the same glossary, **Sales** (more precisely, “Sales Revenue”) is defined as “Revenue from selling products,” and it again points back with “See Revenue,” also creating a circular definition.

So, based strictly on the retrieved context, the schema/business concept documentation does not provide a non-circular, unambiguous difference between **Revenue** and **Sales**—they are defined as each other (“Revenue from sales” vs “Sales revenue from selling products”), and the **Revenue** definition is marked incomplete (“The same as... [definition circular, see Sales]”)."
AB-BEST,05_edgecases_incomplete,,ec_008,Can one order have multiple payments?,conflicting_cardinality,unknown,True,0.5,0.7,0,,adequate,0,True,"The PAYMENTS table has an order_id column, suggesting a many-to-one relationship (multiple payments can reference a single order). However, the relationship section in the glossary asks 'Or is it one-to-one?' indicating uncertainty. The ORDERS table has both payment_status and payment_method columns (singular), which might suggest a single payment per order, but this conflicts with the PAYMENTS table structure.","The retrieved context does not document any database constraint that would force a one-to-one relationship between `ORDERS` and `PAYMENTS`.

In `PAYMENTS`, `order_id` is present as an FK to `ORDERS` (“Order ID … Stores records of payments… related orders and customers”). The documentation also states that the “Order to Payment” relationship is unclear and explicitly raises the question: “An order may have multiple payment attempts. Or is it one-to-one?”

Because the context does not show a `UNIQUE` constraint on `PAYMENTS.order_id` (it only mentions `transaction_id` as “UNIQUE? | External transaction reference” with uncertainty), the knowledge graph does not provide evidence that an order is restricted to a single payment."
AB-BEST,05_edgecases_incomplete,,ec_009,What payment methods are accepted?,missing_enum_values,unknown,True,1.0,0.7,0,,adequate,0,True,"The PAYMENTS table has a payment_method column (VARCHAR(30)), but the data dictionary notes '[missing valid values]' and no CHECK constraint exists to enumerate acceptable methods. The schema does not document what values are valid (e.g., credit_card, debit, paypal, etc.).","The retrieved context does not document the accepted/allowed values for `PAYMENTS.payment_method` (and notes explicitly: “payment_method valid values not documented (credit_card, debit, paypal?)”).

So, from the knowledge graph, the only information available is that the payment method field exists, but the exact accepted payment methods (an approved list/enumeration) are not defined in the provided metadata."
AB-BEST,05_edgecases_incomplete,,ec_010,What's the correct table name: ORDER_ITEMS or ORDER_DETAILS?,naming_ambiguity,unknown,True,1.0,0.9626731126558706,0,,adequate,0,True,"The DDL creates a table named ORDER_ITEMS, but the data dictionary header shows 'ORDER_ITEMS (or ORDER_DETAILS?)' and notes 'Table name ambiguity: ORDER_ITEMS vs ORDER_DETAILS'. The actual table name in the schema is ORDER_ITEMS, but documentation suggests the application may reference it differently.","The retrieved context does not confirm a single “correct” table name. It explicitly flags a table name ambiguity: the chunk describing the order line structure says “ORDER_ITEMS (or ORDER_DETAILS?)” and then proceeds to list columns under “ORDER_ITEMS,” also repeating “ORDER_ITEMS: ORDER_ITEMS” as the physical table reference.

So, based strictly on the provided context, we can only conclude that the hierarchy is represented by a table whose name is ambiguous between `ORDER_ITEMS` and `ORDER_DETAILS`, and the context does not provide enough information to resolve which one is definitively correct."
