study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,07_stress_large_scale,,QA-001,What information does the customer table store and what constraints does it have?,direct_mapping,Easy,True,1.0,0.8468312175806475,0,,adequate,0,True,"The customer table stores customer_id (PK), customer_number (UNIQUE), customer_name, customer_type_id (FK to customer_type), tax_id, registration_date, status (ACTIVE/INACTIVE/SUSPENDED via CHECK), credit_limit (default 0), currency (default USD), payment_terms (default 30 days), credit_score (CHECK 0-100), annual_revenue, industry_code, and website. Timestamps created_at and updated_at track record changes.","The **`CUSTOMER`** table stores information about customers, including identifiers, contact and tax details, financial attributes, status, and timestamps for creation and updates.

From the retrieved context, these specific fields and constraints are shown:

`CUSTOMER.CUSTOMER_ID` (INT, **NOT NULL**) stores the customer identifier.  
`CUSTOMER.STATUS` (VARCHAR, **NOT NULL**) stores the customer’s status.  
`CUSTOMER.CREDIT_LIMIT` (DECIMAL, **nullable**) stores the customer’s credit limit.  
`CUSTOMER.WEBSITE` (VARCHAR, **nullable**) stores the customer’s website.  
`CUSTOMER.CURRENCY` (VARCHAR, **nullable**) stores the currency.

No other constraints (such as uniqueness or foreign key relationships) are specified in the retrieved context."
AB-BEST,07_stress_large_scale,,QA-002,How does the schema classify different types of products?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"Products are classified by product_type via CHECK constraint: FINISHED_GOOD, RAW_MATERIAL, SERVICE, or CONSUMABLE. They also belong to a hierarchical product_category (via category_id FK) where product_category has a self-referencing parent_category_id for nested categories. Products also track status (ACTIVE/DISCONTINUED/PHASE_OUT), shelf_life_days, storage temperature range (min/max), and a hazardous boolean flag.","The schema classifies products in two ways shown in the retrieved context.

First, it classifies a product by its **product type** using the `PRODUCT.PRODUCT_TYPE` column (described as “Product Type” and said to store product catalog data including pricing, physical attributes, storage requirements, hazard status, and audit timestamps).

Second, it classifies products by **category** using `PRODUCT.CATEGORY_ID` (a column present on the `PRODUCT` table). Category details are stored in `PRODUCT_CATEGORY`, including `PRODUCT_CATEGORY.CATEGORY_NAME` (not nullable) and optional `PRODUCT_CATEGORY.DESCRIPTION`. Categories also support a hierarchy via `PRODUCT_CATEGORY.PARENT_CATEGORY_ID` (nullable), allowing parent/child category relationships."
AB-BEST,07_stress_large_scale,,QA-003,What is the structure of the sales order and how does it link to customers and products?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"The sales_order table links to customer via customer_id FK and to warehouse via warehouse_id. It tracks order_number (UNIQUE), order_date, required_date, promised_date, subtotal/tax_amount/freight_amount/total_amount, and status (DRAFT/CONFIRMED/PICKED/SHIPPED/INVOICED/CANCELLED via CHECK). Priority can be LOW/NORMAL/HIGH/URGENT. Sales order lines (sales_order_line) link each order to products via product_id FK, tracking quantities (ordered/shipped/invoiced), unit_price, discount_percentage, and line-level status.","The sales order structure is represented by the **Sales Order** business concept and the physical table **SALES_ORDER**.

From the **Sales Order** concept, a sales order is a commercial document issued by a seller to a buyer and can be in **draft, confirmed, shipped, or cancelled** status. Its listed attributes are **order_id, customer_id, order_date, delivery_date, total_amount, status, sales_rep_id, warehouse_id**.

From the schema metadata provided for **SALES_ORDER**, the table includes at least these columns: **ORDER_ID (INT, NOT NULL)**, **ORDER_NUMBER (VARCHAR, NOT NULL)**, **CUSTOMER_ID (INT, nullable)**, **ORDER_DATE**, **TOTAL_AMOUNT**, **SALES_REP_ID (INT, nullable)**, and **PRIORITY (VARCHAR, nullable)** (along with other “identifiers, dates, involved parties … shipment and payment details … amounts … order status and priority, and audit timestamps” as described for the table).

Link to customers: **SALES_ORDER.CUSTOMER_ID** is the customer reference on the sales order. This aligns with the **Customer** concept’s attribute **customer_id**, and the Sales Order concept explicitly lists **Customer** as a related concept.

Link to products: the sales order itself is related to **Order Line** in the Sales Order concept, and **Product** is also related to **Order Line** in the Product concept. So, based on the provided context, the connection between **sales orders** and **products** is via **Order Line** (the specific Order Line table/columns are not included in the retrieved context, so a join path through Order Line cannot be specified here)."
AB-BEST,07_stress_large_scale,,QA-004,How does the schema represent supplier information and their classification?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The supplier table stores supplier_id (PK), supplier_number (UNIQUE), supplier_name, supplier_type (MANUFACTURER/DISTRIBUTOR/SERVICE_PROVIDER via CHECK), tax_id, registration_date, and status (ACTIVE/INACTIVE/ON_HOLD/BLACKLISTED). Performance metrics are tracked: credit_rating (A/B/C/D), lead_time_days, quality_rating (0-5), and on_time_delivery_rate (0-100%). Suppliers have associated supplier_address (with types MAIN/BILLING/SHIPPING/RETURN) and supplier_contact tables.","The schema represents supplier information using the business concept “Supplier” and a corresponding `SUPPLIER` table.

Supplier master data is captured in `SUPPLIER`, which stores identifiers and key attributes such as `supplier_id`, `supplier_name`, `payment_terms`, `credit_rating`, `currency`, `lead_time_days`, and `status`. For supplier classification specifically, the schema uses `SUPPLIER.SUPPLIER_TYPE` (VARCHAR, NOT NULL) described as “Supplier Type,” which is the field that classifies suppliers. The schema also tracks supplier lifecycle/operational classification via `SUPPLIER.STATUS` (VARCHAR, NOT NULL)."
AB-BEST,07_stress_large_scale,,QA-005,What types of warehouses does the system support and how is storage organized?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"The warehouse table defines four types via CHECK: COMPANY_OWNED, 3PL (third-party logistics), VIRTUAL, and TRANSIT. Each warehouse has capacity_cubic_meters and status (ACTIVE/INACTIVE/UNDER_MAINTENANCE). Storage is organized hierarchically: warehouse → warehouse_zone (types: BULK/PICK/STAGING/RECEIVING/SHIPPING, with temperature_controlled flag) → bin_location (types: BULK/PICK/FLOW_RACK/CANTILEVER, with capacity_quantity, capacity_weight, and status ACTIVE/FULL/LOCKED/QUARANTINE). Bin codes are unique within each warehouse.","The system represents different warehouse “types” using the **`warehouse_type`** attribute in the **Warehouse** concept. Warehouses can be **company-owned**, **third-party logistics (3PL) facilities**, or **virtual locations for transit inventory**.

Inside each warehouse, storage is organized using **Bin Locations**. A **Bin Location** is a specific storage location within a warehouse and is organized hierarchically into **zones**, **aisles**, **shelves**, and a **position** (with associated capacity and current quantity), enabling efficient picking and put-away."
AB-BEST,07_stress_large_scale,,QA-006,How does the inventory tracking system work across the schema?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"Inventory is tracked at two levels. The inventory_on_hand table records current stock per product/warehouse/bin/lot combination (UNIQUE constraint), with quantity_on_hand, quantity_allocated, and a computed quantity_available column (on_hand minus allocated). The inventory_transaction table logs all movements with types: RECEIPT, ISSUE, TRANSFER, ADJUSTMENT, CYCLE_COUNT, SCRAP, and RETURN. Each transaction references a product, warehouse, bin, and optionally a source document (reference_type + reference_id) for traceability.","Across the schema, inventory tracking is represented by coordinating three main areas: where stock is held, what exact product/quantity movements occur, and how those movements move between locations.

Warehouses define the physical storage locations via the **`Warehouse`** concept (table **`Warehouse`**), including **`warehouse_id`**, **`warehouse_name`**, **`warehouse_type`**, capacity (**`capacity_cubic_meters`**), and **`status`**. Inventory is then tracked at finer granularity inside warehouses using **bin locations**: the **`Bin Location`** concept includes **`bin_id`**, **`warehouse_id`**, and a storage position structure (**`zone_id`**, **`aisle`**, **`shelf`**, **`position`**), and it stores quantities such as **`current_quantity`** (plus capacity via **`capacity_quantity`**) for a specific **`product_id`** within that warehouse.

Whenever inventory changes, the system records it as an **`Inventory Transaction`**. This is the central “movement/change log” and includes **`transaction_id`**, **`product_id`**, **`warehouse_id`**, **`transaction_type`**, **`quantity`**, and **`transaction_date`**. It also supports traceability back to the business event that caused the change through **`reference_type`** and **`reference_id** (the schema links inventory transactions to operational documents such as **Purchase Receipt** and **Sales Shipment**).

For movements of stock between warehouses, the schema uses **`Stock Transfer`**. A **`Stock Transfer`** record includes **`transfer_id`**, **`from_warehouse_id`**, **`to_warehouse_id`**, **`transfer_date`**, **`status`**, plus logistics details like **`shipment_method`** and **`tracking_number`** (which is **NOT NULL** per the column definition). The **`Stock Transfer`** concept is explicitly related to both **Inventory Transaction** and **Shipment**, meaning the inter-warehouse movement is represented both as a transfer document and as inventory quantity changes.

Finally, the **`Shipment`** concept represents the physical transportation itself (either outbound/inbound/inter-warehouse). It includes **`shipment_id`**, **`shipment_type`**, **`origin_location_id`**, **`destination_location_id`**, **`ship_date`**, **`carrier_id`**, **`tracking_number`**, and **`status`**, and it is related to **Stock Transfer**, providing another way to track movement status alongside inventory changes.

In short: stock is located via **`Warehouse`** (and **`Bin Location`** with per-bin **`current_quantity`** per **`product_id`**), changes to stock are recorded via **`Inventory Transaction`** using **`product_id`** + **`warehouse_id`** + **`quantity`** + **`transaction_type`** (with **`reference_type`/`reference_id`** back to the triggering document), and inter-warehouse movements are captured with **`Stock Transfer`** (from/to warehouse, tracking, shipment method) and tied to physical **`Shipment`** records."
AB-BEST,07_stress_large_scale,,QA-007,What is the Bill of Materials structure and how does it support multi-level product hierarchies?,direct_mapping,Medium,True,1.0,0.7,0,,adequate,0,True,"The bill_of_materials table implements a many-to-many self-referencing relationship on the product table: parent_product_id (FK to product) contains component_product_id (FK to product) with a specified quantity and unit_of_measure. Components are classified as COMPONENT, PHANTOM, BYPRODUCT, or CO_PRODUCT via CHECK. Each BOM entry has effective_start_date and optional effective_end_date for date-effectivity, with a UNIQUE constraint on (parent_product_id, component_product_id, effective_start_date). Multi-level hierarchies are traversed recursively through the product table.","In the manufacturing system, a **Bill of Materials (BOM)** is defined as **“a hierarchical list of raw materials, sub-assemblies, and quantities required to manufacture a finished product.”** Structurally, the BOM includes the finished **`product_id`** being manufactured and the BOM components via **`component_id`**, along with the required **`quantity`**, **`unit_of_measure`**, and optional material-specific attributes like **`scrap_percentage`**. The BOM structure is also governed over time with **`effective_start_date`** and **`effective_end_date`**.

This BOM structure supports **multi-level product hierarchies** because BOMs can be **single-level or multi-level** and can include **phantom items**. In other words, the hierarchical BOM design allows sub-assemblies (and phantom items) to participate in the BOM in a way that represents more than one level of composition beneath the finished product."
AB-BEST,07_stress_large_scale,,QA-008,How are work orders structured and what do they track?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"The work_order table references product_id (what to produce), production_line_id (where), and warehouse_id (inventory location). It tracks quantity_ordered, quantity_completed, quantity_scrapped, planned dates (start_date, required_date), actual dates (actual_start_date, actual_finish_date), status (DRAFT/RELEASED/IN_PROGRESS/COMPLETED/CANCELLED), and priority (LOW/NORMAL/HIGH/URGENT). Materials are tracked via work_order_material which links to products and bins with quantity_required vs quantity_issued. Production is scheduled via production_schedule linking work_orders to production_lines with planned vs actual timestamps.","Work orders are structured as records in the **Work Order** concept/table that represent a document authorizing production of a specified quantity of a product.

A work order is structured around these core attributes: **`work_order_id`**, **`product_id`**, **`quantity_ordered`**, **`quantity_completed`**, **`start_date`**, **`required_date`**, **`status`**, **`production_line_id`**, and **`priority`**. The schema also captures additional operational/audit details for tracking, including **`created_by`** (**`WORK_ORDER.CREATED_BY`**), **`created_at`** (**`WORK_ORDER.CREATED_AT`**), and **`actual_start_date`** (**`WORK_ORDER.ACTUAL_START_DATE`**).

In terms of what they track, the **work order status** column description states that a work order stores: the **product to be produced**, the **production line and warehouse context**, **quantities** including **ordered, completed, and scrapped**, key dates including **start, required, and actual start/finish**, plus **status** and **priority**, along with **audit metadata for creation**.

Work orders also connect to other manufacturing concepts, including **Bill of Materials**, **Work Order Operation**, **Material Requirement**, and **Production Schedule**."
AB-BEST,07_stress_large_scale,,QA-009,How does the quality management system work in the schema?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"Quality is managed through three related tables. quality_inspection records inspections with types INCOMING/IN_PROCESS/FINAL/AUDIT, results PENDING/PASS/FAIL/CONDITIONAL_PASS, and links to quality_standard (types INTERNAL/ISO/ASTM/FDA/CE). Inspections track defects_found, sample_size, and batch_size. When inspections fail, non_conformance_report records are created with types PRODUCT/PROCESS/DOCUMENTATION/SUPPLIER, severity MINOR/MAJOR/CRITICAL, and status OPEN/IN_PROGRESS/CLOSED/VERIFIED. NCRs track root_cause, corrective_action, and preventive_action for CAPA compliance.","In the schema, quality management is represented mainly through three connected concepts: **Quality Standard**, **Quality Inspection**, and **Non-Conformance Report (NCR)**.

Quality work is governed by a **Quality Standard**, which is a documented acceptance specification (internal or external such as ISO/ASTM/FDA). A standard stores identifiers and descriptive details like `standard_id`, `standard_code`, `standard_name` (not null in `QUALITY_STANDARD.STANDARD_NAME`), `standard_type`, `version`, `issue_date`, and `status`, plus a `DESCRIPTION` (`QUALITY_STANDARD.DESCRIPTION` is nullable).

Actual quality checking is recorded as **Quality Inspection** records. An inspection captures what was inspected and the context using attributes such as `inspection_id`, `inspection_type` (incoming, in-process, or final), `reference_type` and `reference_id` (to tie the inspection to the relevant business object), `product_id`, `inspection_date`, `inspector_id`, `result`, `defects_found`, and `status`. The inspection can also carry the applicable standard via **`QUALITY_INSPECTION.STANDARD_ID`**.

When a defect or deviation is found that does not meet specifications, the schema records it as a **Non-Conformance Report**. An **NCR** explicitly describes the quality deviation and includes governance fields like `severity`, `root_cause`, `status`, and `resolution_date`. It also stores `reference_type` and `reference_id` (so it can be associated to the relevant source context, and it is defined as related to **Quality Inspection**), along with `product_id`, `issue_date`, and `reported_by`. The NCR concept further states that NCRs “trigger root cause analysis and corrective/preventive actions (CAPA).”

So, in this schema: quality criteria are defined by **Quality Standard**, conformance is evaluated by **Quality Inspection** (optionally tied to a standard through `STANDARD_ID` and to operational context via `reference_type/reference_id`), and when inspection results reflect a non-conformance, that deviation is documented in **Non-Conformance Report**, which in turn triggers CAPA processes."
AB-BEST,07_stress_large_scale,,QA-010,What is the complete invoice lifecycle and how are invoices linked to orders and payments?,multi_hop,Medium,True,0.6667,0.7,0,,adequate,0,True,"The invoice table supports four types via CHECK: SALES, PURCHASE, CREDIT_MEMO, and DEBIT_MEMO. Invoices link to customer_id and optionally order_id (FK to sales_order). They track subtotal/tax_amount/total_amount/amount_paid/balance_due and status (DRAFT/POSTED/PAID/OVERDUE/VOID). Each invoice has invoice_line items linking to products and optionally back to order_line_id. Payments reference invoices via invoice_id FK, with payment_type (RECEIPT/PAYMENT/REFUND), payment_method (CASH/CREDIT_CARD/WIRE/CHECK/ACH), and status (PENDING/COMPLETED/FAILED/REVERSED).","From the retrieved context, the **INVOICE** table is documented as storing “billing documents and their financial details for customer orders,” including “amounts due, payments made, and current status.” The available invoice lifecycle information is therefore limited to the data elements used to represent the invoice’s financial progression, not the explicit lifecycle stages/allowed transitions.

Concretely, invoice “lifecycle” tracking in the context is represented by these required attributes in **INVOICE**: **`INVOICE_NUMBER` (VARCHAR, NOT NULL)** and **`INVOICE_DATE` (DATE, NOT NULL)** identify the billing document and when it was issued; **`TOTAL_AMOUNT` (DECIMAL, NOT NULL)** captures the total billed amount; **`DUE_DATE` (DATE, NOT NULL)** sets the payment due date; and **`BALANCE_DUE` (DECIMAL, NOT NULL)** captures the remaining amount due on the invoice. The column descriptions also state that the invoice includes “payments made” and a “current status,” but the context does not enumerate the specific status values or describe any end-to-end state transitions.

Invoices are linked to orders via the sales-order relationship at the concept level: **Sales Order** is described as a commercial document that has **related concepts including Invoice**, and the **INVOICE** description explicitly says invoices are for “customer orders.” However, the retrieved context does not provide the actual foreign key column(s) (e.g., an `INVOICE.order_id`) or the exact join path between **Sales Order** and **INVOICE** in physical schema terms.

Invoices are linked to payments via the Accounts Receivable concept: **Accounts Receivable (AR)** includes **`invoice_id`** (and **`amount_due`, `due_date`, `days_overdue`, `status`, and `collection_status`**), and **AR** is listed with related concepts including **Payment**. This indicates payments are associated with invoices through AR in the conceptual model, but the context does not provide the specific payment table/columns or a precise JOIN path/keys from **INVOICE** directly to **Payment** records.

Unavailable from the retrieved context: the complete set of invoice lifecycle states (and their transitions), and the exact database-level relationships/keys that link **INVOICE** to **Sales Order** and **Payment**."
