study_id,dataset_id,overall,builder,retrieval,answer,pipeline,ablation,grounded_rate,avg_gt_coverage,avg_top_score,triplets,entities,tables_done,tables_parsed
AB-00,01_basics_ecommerce,4.5,5,5,5,5,,,,,,,,
AB-01,01_basics_ecommerce,3.8,5,3,3,5,4,,,,,,,
AB-02,01_basics_ecommerce,4.1,5,3,4,5,4,,,,,,,
AB-03,01_basics_ecommerce,4.35,5,4,4,5,4,,,,,,,
AB-04,01_basics_ecommerce,3.95,5,4,4,5,,,,,,,,
AB-05,01_basics_ecommerce,4.65,5,4,5,5,4,,,,,,,
AB-06,01_basics_ecommerce,4.65,5,4,5,5,4,,,,,,,
AB-07,01_basics_ecommerce,4.55,5,4,5,4,4,,,,,,,
AB-08,01_basics_ecommerce,4.65,5,4,5,5,4,,,,,,,
AB-09,01_basics_ecommerce,4.35,5,4,4,5,4,,,,,,,
AB-10,01_basics_ecommerce,4.25,5,4,5,5,,,,,,,,
AB-11,01_basics_ecommerce,4.65,5,4,5,5,4,,,,,,,
AB-12,01_basics_ecommerce,4.25,5,4,5,5,,,,,,,,
AB-13,01_basics_ecommerce,4.55,5,4,5,4,4,,,,,,,
AB-14,01_basics_ecommerce,4.25,5,4,5,5,,,,,,,,
AB-15,01_basics_ecommerce,4.25,5,4,5,5,,,,,,,,
AB-16,01_basics_ecommerce,3.9,5,3,5,4,,,,,,,,
AB-17,01_basics_ecommerce,4.25,5,4,5,5,,,,,,,,
AB-18,01_basics_ecommerce,4.75,5,4,5,5,5,,,,,,,
AB-19,01_basics_ecommerce,4.3,4,4,5,4,4,,,,,,,
AB-20,01_basics_ecommerce,4.65,5,4,5,5,4,,,,,,,
AB-BEST,01_basics_ecommerce,4.5,5,5,5,5,,,,,,,,
AB-BEST,02_intermediate_finance,4.5,5,5,5,5,,,,,,,,
AB-BEST,03_advanced_healthcare,4.5,5,5,5,5,,,,,,,,
AB-BEST,04_complex_manufacturing,4.5,5,5,5,5,,,,,,,,
AB-BEST,05_edgecases_incomplete,4.5,5,5,5,5,,,,,,,,
AB-BEST,06_edgecases_legacy,4.5,5,5,5,5,,,,,,,,
