study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,02_intermediate_finance,,1,What is a checking account?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"A checking account is one of five account types (Checking, Savings, MoneyMarket, CD, Investment) defined by the CHECK constraint on the accounts table. According to the business glossary, accounts are financial arrangements for deposit, withdrawal, and management of funds. The schema tracks current_balance, available_balance, minimum_balance, monthly_fee, and interest_rate (nullable for non-interest accounts). Checking accounts can have subtypes like Premium or Standard via the account_subtype column. Debit cards can be linked to checking accounts for direct spending, as noted in the Card business rules.","A checking account is a type of bank deposit account represented in the **`accounts`** table where **`account_type` = 'Checking'** (the allowed account types are Checking/Savings/MoneyMarket/CD/Investment).

In **`accounts`**, a checking account’s stored details include **`account_number`** (unique), optional **`account_subtype`**, optional **`parent_account_id`** for portfolio hierarchy, optional **`branch_id`**, **`status`** (Active/Dormant/Frozen/Closed), **`current_balance`** and **`available_balance`**, plus lifecycle timestamps (**`opened_date`**, optional **`closed_date`**, **`last_transaction_date`**, **`created_at`**, **`updated_at`**). Interest fields like **`interest_rate`** may be NULL for non-interest accounts."
AB-BEST-K20,02_intermediate_finance,,2,What is the difference between a savings account and a money market account?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"Both savings and money market are account types defined in the accounts table CHECK constraint. The business glossary Interest section provides example rates: Standard Savings earns 0.25% APY (with monthly compounding), Premium Savings earns 0.50% APY (with daily compounding), while Money Market earns 0.75% APY tiered by balance. Both account types have interest_rate, minimum_balance, and monthly_fee columns in the schema. The glossary examples show savings accounts with varying balances and subtypes (Standard, Premium), while money market accounts are listed alongside checking and savings as deposit products.","In the platform’s retail banking model, a “savings account” vs a “money market account” is primarily distinguished by the account’s **`account_type`** value in the deposit account table (allowed values include **`Savings`** and **`MoneyMarket`**).

The `accounts` table (mapping to the **Account** concept) stores the shared attributes for both types, including balances (**`current_balance`**, **`available_balance`**), lifecycle **`status`** (Active/Dormant/Frozen/Closed), and interest-related fields (**`interest_rate`** and **`interest_earned`**; `interest_rate` is nullable).

Beyond classification, the glossary’s examples indicate different interest behavior/rate examples:
a **Savings Account** example earns **0.50% APY**.
A **Money Market Account** example earns **0.75% APY**, and the interest glossary notes that **Money Market APY can be tiered by balance**.

The context does not specify any other database-enforced behavioral differences (e.g., required interest_rate presence or different fee rules) beyond the **`account_type`** classification and the interest-rate/return examples."
AB-BEST-K20,02_intermediate_finance,,3,What is APR versus APY?,direct_mapping,Easy,True,1.0,0.9608783531246672,0,,adequate,0,True,"APR (Annual Percentage Rate) is the annual cost of a loan including interest and fees, used for loan products. APY (Annual Percentage Yield) is the effective annual rate including compounding effects for deposit products. APY is higher than the nominal rate when compounding is more frequent than annually. For example, a savings account might quote 0.25% APY reflecting daily compounding, while a loan quotes 5.5% APR including origination fees.","APR (Annual Percentage Rate) is the annual interest rate for loans. APY (Annual Percentage Yield) is for deposits and accounts for compounding effects (and is higher than the stated rate when compounding occurs).

The context also notes that “Compounding Frequency” (daily, monthly, annually) and whether interest is simple vs. compound determine the difference between APR and APY."
AB-BEST-K20,02_intermediate_finance,,4,What is KYC Level 2?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The customers table has a kyc_status column with a CHECK constraint allowing Level1, Level2, and Level3. The business glossary states that Level1 is the minimum requirement for account opening, Level3 is required for high-value accounts and international transfers, and risk_profile determines eligibility for products. KYC levels represent increasing verification requirements for regulatory compliance. Level2 falls between basic identity verification (Level1) and high-value account access (Level3), though the specific documentation requirements for each level are not detailed in the source documents.","KYC Level 2 is one of the allowed values for a customer’s KYC verification status, stored in the `customers` table as `kyc_status`.

In the schema, `customers.kyc_status` is constrained to be one of: `Level1`, `Level2`, or `Level3`. The context only states that **Level1 is the minimum requirement for account opening** and **Level3 is required for high-value accounts and international transfers**; it does not provide a specific definition or requirements for **Level 2** beyond being a permitted KYC level."
AB-BEST-K20,02_intermediate_finance,,5,How does the schema support different account subtypes and their varying requirements?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The accounts table has an account_subtype column (VARCHAR 30, nullable) that stores values like Premium or Standard to differentiate within each account_type. Combined with the minimum_balance and monthly_fee columns, each account can have different requirements configured per subtype. The account_type CHECK constraint defines the broad categories (Checking, Savings, MoneyMarket, CD, Investment) while account_subtype provides finer differentiation. The business glossary confirms that minimum balance requirements may trigger monthly fees if not met.","The schema supports different account subtypes using the **`ACCOUNTS.account_subtype`** attribute and by allowing subtype-specific (or type-specific) requirements to be represented with optional (nullable) fields.

In **`accounts`**, **`account_subtype`** is a **VARCHAR(30)** and is **nullable (YES)**, with examples like **Premium**, **Student**, and **Standard**. This lets the same account structure store a subtype label when applicable, without requiring every account to have a subtype.

Varying requirements are handled through nullability and type/status constraints on shared fields. For example, **`accounts.interest_rate`** is **nullable (YES)** and is defined as **NULL for non-interest accounts**, so only accounts that accrue interest need to populate it. Lifecycle requirements are similarly modeled with optional dates: **`accounts.closed_date`** is **nullable (YES)**, with the rule that it is **NULL if active**, so only closed accounts require a close date.

At the same time, the schema enforces consistent categories where needed via CHECK constraints: **`accounts.account_type`** must be one of **('Checking', 'Savings', 'MoneyMarket', 'CD', 'Investment')**, and **`accounts.status`** must be one of **('Active', 'Dormant', 'Frozen', 'Closed')**. This combination (subtype label + optional subtype/type-specific attributes) is how the schema accommodates differing requirements across account subtypes."
AB-BEST-K20,02_intermediate_finance,,6,What types of loan products does the bank offer?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The bank offers five loan types defined by the CHECK constraint on loans.loan_type: (1) Mortgage — secured by real estate, glossary example shows $350,000 at 5.50% APR for 360 months; (2) Personal Loan — unsecured, example $15,000 at 8.50% APR for 48 months; (3) Auto Loan — secured by vehicle, example $35,000 at 6.50% APR for 60 months; (4) HELOC — revolving home equity credit line at variable rates, example $50,000 at 8.50% APR; (5) Credit Card — revolving credit, example $10,000 limit at 18.50% APR. The glossary notes that rates vary by type and creditworthiness, mortgages require collateral, and defaulted loans trigger collections.","The bank offers these loan product types (the `loan_type` in the `loans` table): Mortgage, Personal, Auto, HELOC, and CreditCard."
AB-BEST-K20,02_intermediate_finance,,7,What is the daily ATM withdrawal limit defined in the schema?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The cards table has an atm_daily_limit column (DECIMAL 10,2, NOT NULL) with a default value of 500.00. This is a per-card limit, not per-customer — different card records can have different limits. The daily_limit column (default 3000.00) controls POS spending separately. The business glossary notes that daily limits prevent fraud and control exposure.","The daily ATM withdrawal limit is defined in the **`CARDS`** table using the **`atm_daily_limit`** column (**DECIMAL(10,2)**). Its **default value is `500.00`**, described as “Maximum daily ATM withdrawal.”"
AB-BEST-K20,02_intermediate_finance,,8,What is the difference between a parent account and a child account?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The accounts table supports parent-child hierarchies through the parent_account_id self-referencing foreign key, with a CHECK constraint preventing circular references (parent_account_id != account_id). The data dictionary describes this as supporting portfolio aggregation where parent accounts (typically Investment type) contain child accounts. The business glossary states accounts may be organized into hierarchical portfolio structures for relationship management purposes. Child accounts set parent_account_id to reference their parent, while top-level accounts have parent_account_id as NULL.","In the `accounts` table, the parent–child hierarchy is implemented using the self-referencing column `parent_account_id` (a foreign key to `accounts.account_id`).

A parent account is a top-level account where `parent_account_id` is `NULL`. In the business description, this hierarchy is used for portfolio aggregation, with “investment accounts contain child accounts.”

A child account is an account that has `parent_account_id` set to another account’s `account_id`, meaning it rolls up under that parent account. The schema also prevents circular hierarchies by enforcing `CHECK (parent_account_id != account_id)` (no self-reference)."
AB-BEST-K20,02_intermediate_finance,,9,What does the status 'Frozen' mean for a card?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The cards table has a status column with four states defined by CHECK constraint: Active, Frozen, Blocked, and Expired. The business glossary states that lost or stolen cards must be immediately blocked to prevent fraud, and that expired cards are automatically renewed. The glossary distinguishes Frozen from Blocked as separate statuses, suggesting Frozen is a temporary or reversible suspension. The Account concept also supports a Frozen status alongside Active, Dormant, and Closed, indicating the bank uses Frozen consistently to mean a temporary restriction on the entity.","In the `CARDS` table, `status` is constrained to the values `('Active', 'Frozen', 'Blocked', 'Expired')`, so a card with status **`'Frozen'`** is simply recorded as being in that allowed status state.

The retrieved context does **not** define the operational meaning of `'Frozen'` (for example, what card actions it prevents or how it differs from `'Blocked'`/`'Expired'`)."
AB-BEST-K20,02_intermediate_finance,,10,How does the transactions table track the impact of each transaction on account balances?,direct_mapping,Easy,True,1.0,0.8755743666401081,0,,adequate,0,True,"The transactions table includes a balance_after column (DECIMAL 15,2) that records the account balance after each transaction is applied. Combined with the amount column, transaction_type (Debit/Credit/Transfer/Payment/Withdrawal/Deposit/Fee), and status (Pending/Posted/Failed/Cancelled/OnHold), this allows tracking how each transaction affects the account. The business glossary states that debit transactions reduce account balance, credit transactions increase it, posted transactions are final and cannot be modified (only reversed with a new transaction), and failed transactions are logged for audit but do not affect the balance.","The `transactions` table tracks the impact of each transaction on account balances using the `balance_after` column (`TRANSACTIONS.BALANCE_AFTER`, `DECIMAL(15,2)`, nullable). The table description says it “tracks calculated fields (`balance_after`)” and defines `balance_after` as “Account balance after transaction.”

At the schema level, each transaction row is tied to a specific account via `TRANSACTIONS.account_id` (NOT NULL) referencing `accounts(account_id)`, so `balance_after` represents that specific account’s balance after that transaction occurred (when populated).

The transaction context that accompanies this balance impact is also stored in the row: `amount` (always positive), `transaction_type`, `currency` (default `USD`), `transaction_date`, and `status` (default `Pending`, with allowed values `Pending/Posted/Failed/Cancelled/OnHold`)."
AB-BEST-K20,02_intermediate_finance,,11,How does the customer_account junction table support multiple ownership types?,direct_mapping,Medium,True,1.0,0.9865198970247337,0,,adequate,0,True,"The customer_account table implements a many-to-many relationship between customers and accounts with a composite primary key (customer_id, account_id). It supports four relationship types via CHECK constraint: Owner, JointOwner, AuthorizedSigner, and Custodian. The is_primary flag designates the primary owner for billing and legal purposes, while ownership_percentage (DECIMAL 0-100, default 100) tracks proportional ownership. This allows a single account to have multiple customers with different roles, and a single customer to own multiple accounts.","The **customer_account** junction table supports multiple ownership/participation types by using the **customer_account.relationship_type** column, which is **VARCHAR(20) NOT NULL** with a CHECK constraint limiting it to exactly these values: **'Owner'**, **'JointOwner'**, **'AuthorizedSigner'**, and **'Custodian'**.  

Because **customer_account** is a many-to-many junction table (composite primary key **customer_id, account_id**), each customer–account link can record its specific **relationship_type** and related ownership details such as **is_primary** (BOOLEAN NOT NULL) and **ownership_percentage** (DECIMAL(5,2) NOT NULL, default **100.00**). The table also tracks when the relationship was established (**linked_date**, NOT NULL) and, optionally, when it was terminated (**unlinked_date**, nullable)."
AB-BEST-K20,02_intermediate_finance,,12,What is the difference between current_balance and available_balance in the accounts table?,direct_mapping,Easy,True,1.0,0.8775817402641964,0,,adequate,0,True,"The accounts table tracks two separate balance fields: current_balance includes all transactions including pending ones, while available_balance excludes holds and pending transactions and represents what the customer can actually withdraw. The business glossary confirms this distinction, stating that available balance may be less than current balance due to holds or pending transactions. Both are DECIMAL(15,2) fields with a default of 0.00.","In the `accounts` table, `current_balance` is the account’s current balance including pending transactions, while `available_balance` is the balance available for withdrawal, excluding holds."
AB-BEST-K20,02_intermediate_finance,,13,How are loans linked to both customers and accounts in the schema?,multi_hop,Medium,True,1.0,0.8104789086703224,0,,adequate,0,True,"The loans table has a customer_id foreign key referencing the customers table (the borrower) and an optional account_id foreign key referencing the accounts table (for linked payment accounts). Each loan belongs to exactly one customer, and can optionally be connected to an account for automatic payment drafting. The loan tracks principal_amount, interest_rate (APR), term_months, monthly_payment, balance_due, origination_date, maturity_date, and status. The loan_type CHECK constraint defines the product types: Mortgage, Personal, Auto, HELOC, and CreditCard.","Loans are linked to both customers and accounts through foreign keys defined on the **`loans`** table.

For customers, **`loans.customer_id`** is **NOT NULL** and has a foreign key constraint **`loans.customer_id → customers.customer_id`**.  

For accounts, **`loans.account_id`** is **nullable (YES)** and has a foreign key constraint **`loans.account_id → accounts.account_id`**. Because it is nullable, a loan row can exist without being linked to an account, but if **`account_id`** is populated it must reference an existing **`accounts.account_id`**."
AB-BEST-K20,02_intermediate_finance,,14,What types of transactions does the system support and how does their status lifecycle work?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The transactions table supports seven transaction types via CHECK constraint: Debit, Credit, Transfer, Payment, Withdrawal, Deposit, and Fee. Each transaction also has a status lifecycle with five states: Pending (initial default), Posted (final), Failed, Cancelled, and OnHold. The business glossary explains that debit transactions reduce account balance, credit transactions increase it, posted transactions are final and cannot be modified (only reversed with a new transaction), and failed transactions are logged for audit but do not affect balance. POS transactions include location data for fraud detection.","The system supports these transaction types in **TRANSACTIONS.TRANSACTION_TYPE** (constrained by CHECK): **Debit, Credit, Transfer, Payment, Withdrawal, Deposit, Fee**.

Transaction status is stored in **TRANSACTIONS.STATUS** (also constrained by CHECK) and can be one of: **Pending, Posted, Failed, Cancelled, OnHold**. The schema default for **status** is **'Pending'** when a transaction record is created. 

The retrieved context does not specify the allowed status transitions (i.e., the “lifecycle” rules for moving from one status to another); it only defines the set of statuses the system records."
AB-BEST-K20,02_intermediate_finance,,15,How does the schema support joint account ownership between multiple customers?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"Joint ownership is implemented through the customer_account junction table, which creates a many-to-many relationship between customers and accounts. Each row has a relationship_type CHECK constraint allowing Owner, JointOwner, AuthorizedSigner, or Custodian. The ownership_percentage field (DECIMAL 5,2) tracks each customer's share of the account, and the is_primary flag designates the primary account holder. Multiple customers can be linked to the same account with different roles and ownership percentages, and each link tracks linked_date and optional unlinked_date.","The schema supports joint account ownership between multiple customers via the junction table **customer_account**, which models a many-to-many relationship between **customers** and **accounts**.

In **customer_account**:
- The primary key is the composite **(customer_id, account_id)**, so multiple rows can exist for the same **account_id** with different **customer_id** values (and vice versa), enabling multiple customers to be linked to the same account.
- **relationship_type** (NOT NULL) records the customer’s role on the account and is restricted by a CHECK constraint to one of: **('Owner', 'JointOwner', 'AuthorizedSigner', 'Custodian')**.
- **is_primary** (BOOLEAN, NOT NULL) flags whether a given customer/account link is the primary owner for billing and legal purposes.
- **ownership_percentage** (DECIMAL(5,2), NOT NULL) stores each customer’s ownership share, with values defined as **0.00–100.00**.
- **linked_date** (DATE, NOT NULL) and **unlinked_date** (DATE, nullable) track when the relationship started and ended.
- Referential integrity is enforced with foreign keys:
  - **customer_account.customer_id → customers(customer_id)**
  - **customer_account.account_id → accounts(account_id)**"
