study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,06_edgecases_legacy,,1,What is the purpose of the tblCustomer table?,unknown,unknown,True,1.0,0.9921232932834126,0,,adequate,0,True,"The tblCustomer table stores customer master data including customer codes, names, email addresses, and region information. It uses Hungarian notation with the str prefix for string fields and contains both legacy fields (strCustID, strFullName) and new migration compatibility fields (cust_id, customer_name).",The `tblCustomer` table’s purpose is to store customer master data from the legacy CRM system (CustomerMaster v3.2.1).
AB-BEST-K20,06_edgecases_legacy,,2,How are customers identified in the legacy system?,unknown,unknown,True,1.0,0.8294920001731195,0,,adequate,0,True,"Customers are identified by strCustID, which is a VARCHAR(50) field containing alphanumeric customer codes inherited from an AS/400 system. These codes follow formats like C-XXXXX or REG-XXXX and can contain letters, numbers, and hyphens.","In the legacy CustomerMaster v3.2.1 system, customers are identified by the unique customer code `strCustID`, which is the primary key of `tblCustomer` (`tblCustomer.strCustID`).

`strCustID` is a `VARCHAR(50)` and is `NOT NULL` and `UNIQUE`. It follows the format `C-XXXXX` or `REG-XXXX` and is described as a legacy AS/400 customer number (alphanumeric identifier containing letters, numbers, and hyphens)."
AB-BEST-K20,06_edgecases_legacy,,3,What table stores order header information and what is its primary key?,unknown,unknown,True,1.0,0.909103245693355,0,,adequate,0,True,"Order header information is stored in the vw_SalesOrderHdr table despite the vw_ prefix suggesting it's a view. The primary key is lngOrderID, which is an INT field using the lng (long integer) Hungarian notation prefix.","Order header information is stored in the **vw_SalesOrderHdr** table, and its primary key is **vw_SalesOrderHdr.lngOrderID (INT, PK)**."
AB-BEST-K20,06_edgecases_legacy,,4,Which table in the schema uses a SQL reserved word as its name?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,The schema includes two tables that use SQL reserved words: 'Group' (for product categories) and 'User' (for system users). These require square bracket quoting [Group] and [User] in SQL queries to avoid syntax errors.,"The schema uses SQL reserved words as table names for `Group` and `User`. In the context, they are noted as requiring quoting: `Group` must be referenced as `[Group]`, and `User` must be referenced as `[User]`."
AB-BEST-K20,06_edgecases_legacy,,5,What is the relationship between vw_SalesOrderHdr and tblCustomer?,unknown,unknown,True,1.0,0.9986329743543437,0,,adequate,0,True,"vw_SalesOrderHdr has a foreign key relationship with tblCustomer through the intCustID field, which references strCustID. Despite the int prefix suggesting an integer, intCustID is actually a VARCHAR(50) field matching the strCustID data type.","`vw_SalesOrderHdr` relates to `tblCustomer` via the foreign key `vw_SalesOrderHdr.intCustID` → `tblCustomer.strCustID`. This enforces that each sales order header references a valid customer, and the business rule is that one customer can have many orders over time."
AB-BEST-K20,06_edgecases_legacy,,6,What naming convention is used for the inventory transaction log table?,unknown,unknown,True,1.0,0.9305845275935024,0,,adequate,0,True,"The inventory transaction log table is named 'inv_txn_log' using abbreviated naming with underscore separators. Field names within this table are also heavily abbreviated: txn_id (transaction ID), txn_dt (transaction date), txn_type (transaction type), and prod_id (product ID).",The inventory transaction log table `inv_txn_log` uses the naming convention **“Heavily abbreviated.”**
AB-BEST-K20,06_edgecases_legacy,,7,What data quality issue exists in the tblProduct unit_cost field?,unknown,unknown,True,1.0,0.8594279560667432,0,,adequate,0,True,"The tblProduct.unit_cost field has an inappropriate data type - it's defined as VARCHAR(20) instead of DECIMAL. This field contains currency symbols like '$19.99' which require parsing before calculations can be performed, making it unusable for mathematical operations without transformation.","The data quality issue in **`tblProduct.unit_cost`** is that it is stored as a **`VARCHAR(20)`** containing **currency symbols (e.g., `""$19.99""`)** instead of a proper **numeric/decimal** type. The schema/glossary notes it “should be DECIMAL” and indicates this requires parsing before calculations."
AB-BEST-K20,06_edgecases_legacy,,8,How does the ord_line_item table handle product data redundancy?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,The ord_line_item table contains redundant copies of product data (product_code and item_name) that are denormalized for reporting performance and to snapshot product information at the time of order. These fields may become out of sync with the tblProduct master and should not be updated from product master changes.,"The `ord_line_item` table both references the canonical product master and also stores redundant product descriptors for historical/reporting accuracy.

At the relational level, each line item has `prod_id` (NOT NULL) as a foreign key to the product master `tblProduct.intProdID` (so the line item is tied to a specific product record).

In addition, `ord_line_item` includes denormalized, redundant product fields: `product_code` (a copy of `tblProduct.strSKU`) and `item_name` (a copy of the product name at order time). The business migration notes state these redundant copies “should NOT be updated from the product master,” specifically because they are “snapshotted for historical accuracy” (they “may be out of sync with master” if the product name changes). The migration priority guidelines also call out that these denormalized redundant fields in `ord_line_item` create update overhead."
AB-BEST-K20,06_edgecases_legacy,,9,What are the valid values for the strOrderStatus field in vw_SalesOrderHdr?,unknown,unknown,True,1.0,0.9130583432721083,0,,adequate,0,True,"The strOrderStatus field accepts three values enforced by a CHECK constraint: 'PENDING' (order received but not shipped), 'SHIPPED' (order has been shipped to customer), and 'CANCELLED' (order cancelled before shipping).","In `vw_SalesOrderHdr`, the `strOrderStatus` field has a CHECK constraint enforced with valid values: `PENDING`, `SHIPPED`, and `CANCELLED`."
AB-BEST-K20,06_edgecases_legacy,,10,Which table stores payment information and what security issue does it have?,unknown,unknown,True,1.0,0.746138993030751,0,,adequate,0,True,"Payment information is stored in the tblPayment table. The table has a critical security issue: the CardNumberText field stores full unencrypted credit card numbers as VARCHAR(100), which is a PCI compliance violation. The system also lacks proper tokenization and encryption at rest.","Payment information is stored in the `tblPayment` table.

The security issue is that `tblPayment.CardNumberText` stores full card numbers as plaintext text (unencrypted PAN), and it needs tokenization/encryption at rest for PCI-DSS compliance."
AB-BEST-K20,06_edgecases_legacy,,11,What is the purpose of the bolActive field in tblCustomer and tblProduct?,unknown,unknown,True,1.0,0.9645892699236761,0,,adequate,0,True,"The bolActive field (using Hungarian notation 'bol' for boolean/bit) is a flag indicating whether a record is active. In tblCustomer, it marks whether customers are included in marketing (1=active, 0=inactive). In tblProduct, it indicates product availability (1=available for sale, 0=discontinued).","In **tblCustomer**, **bolActive (BIT)** is the “active customer” flag: **1 = active** and **0 = inactive**. Inactive customers are “excluded from marketing,” and customers can be marked inactive but “are never deleted.”

In **tblProduct**, **bolActive (BIT)** is the product availability flag: **1 = available for sale** and **0 = discontinued or out of circulation**."
AB-BEST-K20,06_edgecases_legacy,,12,How are inventory transactions tracked in the system?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,"Inventory transactions are tracked in the inv_txn_log table, which records all stock movements. Each transaction has a type (txn_type): 'IN' for receipts, 'OUT' for shipments, and 'ADJ' for corrections. The table uses heavily abbreviated field names and references products via prod_id.","Inventory transactions are tracked in the `inv_txn_log` table as an audit trail of stock quantity changes. Every stock movement must be logged, and the transaction types recorded in `inv_txn_log` are `IN` (receipts), `OUT` (shipments/adjustments), and `ADJ` (corrections).

Inventory quantity is computed as the sum of all `IN` transaction quantities minus the sum of all `OUT` transaction quantities (with `ADJ` also captured in the log as corrections, where `qty` can be positive or negative). The table stores the product being adjusted via `prod_id` (FK to `tblProduct.intProdID`), the transaction quantity `qty`, the transaction timestamp `txn_dt` (defaulting to the current date/time), a reference number `ref_num` (order number, PO number, or adjustment code), the initiating user `user_id`, and optional free-form `notes`."
AB-BEST-K20,06_edgecases_legacy,,13,What is the self-referencing relationship in the Group table?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,"The Group table has a self-referencing foreign key where ParentGroupID references GroupID, creating a hierarchical structure for product categories. A NULL ParentGroupID indicates a top-level group, while non-NULL values create nested category levels.","In the **`Group`** table, the self-referencing relationship is that **`Group.ParentGroupID`** is a foreign key referencing **`Group.GroupID`** (i.e., **`Group.ParentGroupID -> Group.GroupID`**). This supports a hierarchy where **`ParentGroupID` is NULL for top-level groups**."
AB-BEST-K20,06_edgecases_legacy,,14,What migration compatibility columns exist in tblCustomer?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,The tblCustomer table includes cust_id (INT) and customer_name (VARCHAR 255) as migration compatibility columns alongside the legacy strCustID and strFullName fields. These are intended for the new ERP system that will use integer IDs and standardized naming conventions.,"The migration compatibility columns in **tblCustomer** are `cust_id` and `customer_name`.

`cust_id` (INT, NULL) is a planned integer surrogate key for the new system and is currently NULL for all records. `customer_name` (VARCHAR 255, NULL) is a planned standardized naming convention and is redundant with `strFullName` for migration compatibility."
