study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-00,01_basics_ecommerce,replication-run3,Q001,What information is stored for each customer?,direct_mapping,easy,True,1.0,0.050799459703689945,12,proceed_with_warning,adequate,0,True,"Each customer has a unique ID, full name, email address, geographic region code, creation date, and active status. The email must be unique across all customers.","For every registered customer the e‑commerce data model keeps a single master row in the **CUSTOMER_MASTER** table. The table stores the following six fields:

* **CUST_ID** – an auto‑increment integer that uniquely identifies the customer (primary key).  
* **FULL_NAME** – the customer’s full name (VARCHAR 200).  
* **EMAIL** – the unique email address used for login (VARCHAR 150).  
* **REGION_CODE** – a geographic‑region code that is used for tax calculation (VARCHAR 10, nullable).  
* **CREATED_AT** – the timestamp when the customer account was created (DATETIME).  
* **IS_ACTIVE** – a Boolean flag indicating whether the customer is currently allowed to place orders (BOOLEAN).

These columns constitute the complete set of information captured for each customer in the schema【1†L1-L2】【3†L1-L2】."
AB-00,01_basics_ecommerce,replication-run3,Q002,How are products categorized on the platform?,direct_mapping,easy,True,1.0,0.1589561227143433,12,proceed_with_warning,adequate,0,True,"Products belong to categories which can have a parent category, forming a hierarchical tree structure. Each product references exactly one category through its CATEGORY_ID.","Products are categorized through a **hierarchical product‑category tree** that is represented in the database schema:

* The physical table **TB_PRODUCT** (the implementation of the “Product” business concept) contains a column **CATEGORY_ID**.  
* **CATEGORY_ID** is a foreign key that points to **TB_CATEGORY.CATEGORY_ID** (see the relationship “TB_PRODUCT references TB_CATEGORY via foreign key CATEGORY_ID -> TB_CATEGORY.CATEGORY_ID”).  
* The **TB_CATEGORY** table stores each product category and includes a **PARENT_CATEGORY_ID** column that references another row in the same TB_CATEGORY table (self‑reference). This self‑reference creates a nested tree of categories and sub‑categories.

Thus, a product’s categorization on the platform is determined by the value stored in **TB_PRODUCT.CATEGORY_ID**, which links the product to a node in the hierarchical **TB_CATEGORY** structure, allowing categories to be organized into multiple levels (category → sub‑category → …) for browsing, inventory, and reporting."
AB-00,01_basics_ecommerce,replication-run3,Q003,What is the relationship between customers and sales orders?,direct_mapping,easy,True,1.0,0.9846936454393053,12,proceed,adequate,0,True,"Each sales order is placed by exactly one customer, referenced through the CUST_ID foreign key. A customer can place zero or more orders over time.","The model defines a **one‑to‑many** relationship from Customer to Sales Order:

* **Business rule** – “A Sales Order is placed by exactly one Customer” (Chunk [1]).  
* **Foreign‑key link** – The column **SALES_ORDER_HDR.CUST_ID** references **CUSTOMER_MASTER.CUST_ID** (Chunk [6] and also shown in the relationship diagram of Chunk [11]).  
* **Concept‑to‑table mapping** – The business concept **Customer** is implemented by the table **CUSTOMER_MASTER**, and the concept **Sales Order** is implemented by **SALES_ORDER_HDR** (Chunk [2] and Chunk [8]).

Therefore, each **Sales Order** (a row in **SALES_ORDER_HDR**) is associated with exactly one **Customer** (a row in **CUSTOMER_MASTER**), while a single **Customer** can have zero, one, or many related **Sales Orders**."
AB-00,01_basics_ecommerce,replication-run3,Q004,What does an order line item contain?,direct_mapping,easy,True,1.0,0.8738621049648146,12,proceed,adequate,0,True,"An order line item specifies a product, the quantity ordered, the unit price at time of purchase, and the calculated extended amount. Each line item belongs to exactly one sales order.","An **order line item** (the physical table ORDER_LINE_ITEM) records the details of a single product that belongs to a sales order. According to the business context and the table definition, each line item contains:

* **LINE_ID** – a unique line identifier (primary‑key).  
* **ORDER_ID** – the identifier of the parent sales order; the line item is part of exactly one Sales Order【4†L1-L5】.  
* **PRODUCT_ID** – a reference to exactly one Product (foreign key to TB_PRODUCT)【2†L1-L1】【7†L1-L5】.  
* **QUANTITY** – the number of units ordered【1†L1-L5】.  
* **UNIT_PRICE** – the price of the product at the moment the order was placed (historical price that does not change later)【1†L1-L5】.  
* **LINE_AMT** – the extended amount for the line, calculated as quantity × unit price【1†L1-L5】.

These columns together capture the product reference, ordered quantity, the locked‑in price, and the resulting line total, and they are linked via foreign keys to the related **Sales Order** (ORDER_ID) and **Product** (PRODUCT_ID) records【5†L1-L1】."
AB-00,01_basics_ecommerce,replication-run3,Q005,How are payments linked to orders?,direct_mapping,easy,True,1.0,0.9231777955470523,12,proceed,adequate,0,True,"Each payment is associated with exactly one sales order through the ORDER_ID foreign key. Payments track the payment method, amount, status, and confirmation timestamp.","Payments are linked to orders through a foreign‑key relationship:

* The **PAYMENT** table contains the column **ORDER_ID**.  
* **ORDER_ID** is defined as a foreign key that references **SALES_ORDER_HDR.ORDER_ID**【1†L1-L1】.

Because of this key:

* “A Payment is for exactly one Sales Order”【4†L7-L9】, and  
* “A Sales Order has one or more Payments”【4†L2-L4】.

Thus each payment record points to a single sales‑order header row, establishing a many‑to‑one link from payments to their corresponding order (PAYMENT.ORDER_ID → SALES_ORDER_HDR.ORDER_ID)."
AB-00,01_basics_ecommerce,replication-run3,Q006,What statuses can an order have?,attribute_lookup,easy,True,1.0,0.36409897561216076,12,proceed,adequate,0,True,"Orders can have one of five statuses defined via CHECK constraint on SALES_ORDER_HDR.STATUS_CODE: PENDING (initial state when order is created), CONFIRMED (payment has been received), SHIPPED (dispatched to customer), DELIVERED (received by customer), or CANCELLED. The business glossary describes the same lifecycle under Sales Order.","The order’s current state is stored in the **STATUS_CODE** column of the **SALES_ORDER_HDR** table, which implements the “Sales Order” (or “Order”) business concept【1】.  

The retrieved material does not list the concrete values that can appear in this column (e.g., “Pending”, “Confirmed”, “Shipped”, etc.). Therefore, an order can have any status represented by the values stored in **SALES_ORDER_HDR.STATUS_CODE**, but the specific set of possible order‑status codes is not provided in the available context."
AB-00,01_basics_ecommerce,replication-run3,Q007,Which table stores the product SKU information?,direct_mapping,easy,True,1.0,0.549972979776433,12,proceed,adequate,0,True,"The TB_PRODUCT table stores the SKU (Stock Keeping Unit) code for each product, along with product name, category, price, and active status.","The product SKU is stored in the **TB_PRODUCT** table, which includes a column named SKU【1】."
AB-00,01_basics_ecommerce,replication-run3,Q008,How can I find all orders placed by a specific customer?,multi_hop,medium,True,1.0,0.14282864911055923,12,proceed_with_warning,adequate,0,True,"Query the SALES_ORDER_HDR table filtering by CUST_ID. Each order has a foreign key reference to CUSTOMER_MASTER.CUST_ID, so joining these tables on CUST_ID will show all orders for a customer along with their details.","To retrieve every sales order that belongs to a particular customer you follow the foreign‑key link between **CUSTOMER_MASTER** and **SALES_ORDER_HDR**.

**Schema elements that define the link**

* **CUSTOMER_MASTER** stores the master record for each platform customer; its primary key is **CUST_ID** (INT)【1†L1-L4】.  
* **SALES_ORDER_HDR** implements the *Sales Order* concept and contains a column **CUST_ID** that records the customer who placed the order【5†L1-L4】.  
* The relationship is defined as a foreign key **CUST_ID → CUSTOMER_MASTER(CUST_ID)**【6†L1-L1】 (also shown in the concept‑to‑table mapping【10†L1-L3】).  
* Business rule: “A Sales Order is placed by exactly one Customer”【2†L1-L2】.

**Typical schema‑level query**

```sql
SELECT
    so.ORDER_ID,
    so.ORDER_DATE,
    so.TOTAL_AMT,
    so.STATUS_CODE,
    so.PAYMENT_CONFIRMED_AT,
    so.DELIVERED_AT,
    so.CREATED_AT
FROM
    SALES_ORDER_HDR AS so
JOIN
    CUSTOMER_MASTER AS cm
      ON so.CUST_ID = cm.CUST_ID
WHERE
    cm.CUST_ID = <desired_customer_id>          -- or cm.EMAIL = 'user@example.com'
;
```

*The `JOIN` uses the foreign‑key `SALES_ORDER_HDR.CUST_ID → CUSTOMER_MASTER.CUST_ID`.  
*The `WHERE` clause identifies the specific customer, either by the primary key `CUST_ID` or by a unique attribute such as `EMAIL` from `CUSTOMER_MASTER`.

If you only need the order identifiers (or other order columns) you can filter directly on the foreign‑key column without the join:

```sql
SELECT ORDER_ID, ORDER_DATE, TOTAL_AMT
FROM SALES_ORDER_HDR
WHERE CUST_ID = <desired_customer_id>;
```

Thus, by following the relationship `CUSTOMER_MASTER.CUST_ID └── SALES_ORDER_HDR.CUST_ID` you can retrieve all orders placed by any specific customer. The knowledge graph provides only the schema definitions; it does not contain the actual order or customer records."
AB-00,01_basics_ecommerce,replication-run3,Q009,How does the schema link orders to their individual product line items?,multi_hop,medium,True,1.0,0.7433543601649092,12,proceed,adequate,0,True,"The ORDER_LINE_ITEM table is the junction entity between SALES_ORDER_HDR and TB_PRODUCT. It contains ORDER_ID (foreign key to SALES_ORDER_HDR) and PRODUCT_ID (foreign key to TB_PRODUCT), allowing a single order to have multiple line items. Each line item also records QUANTITY (constrained to be > 0), UNIT_PRICE, and LINE_AMT.","The link is made through a **foreign‑key relationship** between the order‑header table and the line‑item table.

* The order header is stored in **SALES_ORDER_HDR**, whose primary key is **ORDER_ID**.  
* The individual product lines are stored in **ORDER_LINE_ITEM**. This table has a column **ORDER_ID** that is defined as a foreign key pointing to **SALES_ORDER_HDR.ORDER_ID**【3†source】【4†source】.

Because **ORDER_LINE_ITEM.ORDER_ID → SALES_ORDER_HDR.ORDER_ID**, each line‑item row (one product line) is associated with exactly one sales order, while a single sales order can have many line‑item rows—a one‑to‑many relationship. This is reflected in the business‑relationship description: “A Sales Order has one or more Order Line Items” and “An Order Line Item is part of exactly one Sales Order”【7†source】.  

Thus, the schema links orders to their individual product line items via the **ORDER_ID** foreign key in the **ORDER_LINE_ITEM** table."
AB-00,01_basics_ecommerce,replication-run3,Q010,Show me the order hierarchy from customer to line items.,multi_hop,medium,True,0.75,0.3719347138931014,12,proceed,adequate,0,True,"The hierarchy is: Customer (CUSTOMER_MASTER) → SalesOrder (SALES_ORDER_HDR) → OrderLineItem (ORDER_LINE_ITEM) → Product (TB_PRODUCT). Each customer has orders, each order has line items, and each line item references a product.","The hierarchy that links a customer to the individual line‑items of an order is defined by three tables and two foreign‑key relationships that appear in the retrieved context.

**Tables and keys**

1. **CUSTOMER_MASTER** – the physical table that implements the *Customer* concept. Its primary key is **CUST_ID**【9†L1-L4】.  

2. **SALES_ORDER_HDR** – the table that implements the *Sales Order* concept. It contains a column **CUST_ID** that is a foreign key referencing **CUSTOMER_MASTER(CUST_ID)**【2†L1-L2】, so each sales order is placed by exactly one customer (as stated in the Sales Order Relationships chunk【1†L1-L2】). The order’s unique identifier is **ORDER_ID** (shown in the Business Concept‑to‑Table mapping【10†L13-L15】).  

3. **ORDER_LINE_ITEM** – the table that implements the *Order Line Item* concept. It has a primary key **LINE_ID**【2†L1-L4】 and a column **ORDER_ID** that is a foreign key referencing **SALES_ORDER_HDR(ORDER_ID)**【2†L5-L6】 (also repeated in the explicit FK relationship chunk【6†L1-L2】). This means each line item belongs to exactly one sales order (as described in the Order Line Item Relationships chunk【1†L5-L6】).

**Join path that represents the hierarchy**

```sql
CUSTOMER_MASTER.CUST_ID = SALES_ORDER_HDR.CUST_ID
JOIN
SALES_ORDER_HDR.ORDER_ID = ORDER_LINE_ITEM.ORDER_ID
```

**Narrative description**

- A **Customer** (record in CUSTOMER_MASTER) places a **Sales Order** (record in SALES_ORDER_HDR) via the foreign key `SALES_ORDER_HDR.CUST_ID`.  
- That **Sales Order** can have one or more **Order Line Items** (records in ORDER_LINE_ITEM) linked through `ORDER_LINE_ITEM.ORDER_ID`.

Thus the complete “customer → order → line items” hierarchy is:

**Customer (CUSTOMER_MASTER) → Sales Order (SALES_ORDER_HDR) → Order Line Item (ORDER_LINE_ITEM)**, connected by the foreign‑key chain `CUST_ID → CUSTOMER_MASTER(CUST_ID)` and `ORDER_ID → SALES_ORDER_HDR(ORDER_ID)`."
