study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,01_basics_ecommerce,replication-run3,Q001,What information is stored for each customer?,direct_mapping,easy,True,1.0,0.6032308448845886,20,proceed,adequate,0,True,"Each customer has a unique ID, full name, email address, geographic region code, creation date, and active status. The email must be unique across all customers.","Each registered customer is represented by one row in the **CUSTOMER_MASTER** table. For every customer the database stores the following six fields:

* **CUST_ID** – an auto‑increment integer that uniquely identifies the customer (primary key).  
* **FULL_NAME** – the customer’s full name (VARCHAR 200).  
* **EMAIL** – the unique email address used for login (VARCHAR 150).  
* **REGION_CODE** – a geographic‑region code that is used for tax calculation (VARCHAR 10, nullable).  
* **CREATED_AT** – the timestamp when the customer account was created (DATETIME).  
* **IS_ACTIVE** – a Boolean flag indicating whether the customer is currently allowed to place orders (BOOLEAN).

These columns constitute the complete set of information captured for each customer in the e‑commerce data model【3†L1-L2】【4†L1-L2】. The business glossary further describes a customer as “an individual or entity registered on the platform who has made at least one purchase” and highlights the key attributes of a unique ID, valid email, geographic region for tax, and active/inactive status【5†L1-L2】."
AB-BEST,01_basics_ecommerce,replication-run3,Q002,How are products categorized on the platform?,direct_mapping,easy,True,1.0,0.1589561227143433,20,proceed_with_warning,adequate,0,True,"Products belong to categories which can have a parent category, forming a hierarchical tree structure. Each product references exactly one category through its CATEGORY_ID.","Products are categorized by linking each product record to a category record:

* The **TB_PRODUCT** table (the physical implementation of the “Product” business concept) contains a column **CATEGORY_ID**.  
* **CATEGORY_ID** is defined as a foreign key that points to **TB_CATEGORY.CATEGORY_ID** (see the relationship “TB_PRODUCT references TB_CATEGORY via foreign key CATEGORY_ID -> TB_CATEGORY.CATEGORY_ID”).  

Therefore, the category to which a product belongs is stored in **TB_PRODUCT.CATEGORY_ID**, and the actual category details are kept in the **TB_CATEGORY** table. This foreign‑key relationship is the mechanism the platform uses to classify products into categories."
AB-BEST,01_basics_ecommerce,replication-run3,Q003,What is the relationship between customers and sales orders?,direct_mapping,easy,True,1.0,0.9846936454393053,20,proceed,adequate,0,True,"Each sales order is placed by exactly one customer, referenced through the CUST_ID foreign key. A customer can place zero or more orders over time.","The model defines a **one‑to‑many** relationship from Customer to Sales Order:

* **Business rule** – “A Sales Order is placed by exactly one Customer” (see the *Sales Order Relationships* chunk [1]).
* **Foreign‑key link** – The column **CUST_ID** in the sales‑order header table **SALES_ORDER_HDR** references **CUSTOMER_MASTER.CUST_ID** (FK relationship described in chunks [5] and [7]).
* **Concept‑to‑table mapping** – The business concept **Customer** is implemented by the table **CUSTOMER_MASTER** (chunk [6]), and the concept **Sales Order** is implemented by **SALES_ORDER_HDR** (chunk [4]).

Therefore, each row in **SALES_ORDER_HDR** (a sales order) is associated with exactly one row in **CUSTOMER_MASTER** (a customer), while a single customer can be linked to zero, one, or many sales‑order rows."
AB-BEST,01_basics_ecommerce,replication-run3,Q004,What does an order line item contain?,direct_mapping,easy,True,1.0,0.97369471946558,20,proceed,adequate,0,True,"An order line item specifies a product, the quantity ordered, the unit price at time of purchase, and the calculated extended amount. Each line item belongs to exactly one sales order.","An order line item is the record that captures the details of a single product within a sales order. According to the business concept and its physical table definition, each line item stores the following fields:

* **LINE_ID** – a unique, auto‑incrementing identifier for the line (primary key)【6†L1-L5】.  
* **ORDER_ID** – the identifier of the parent sales order, linking the line to exactly one Sales Order【4†L1-L5】.  
* **PRODUCT_ID** – a foreign‑key reference to the product that is being ordered, tying the line to a single row in the product catalogue【3†L1-L5】.  
* **QUANTITY** – the number of units of that product ordered【2†L1-L5】.  
* **UNIT_PRICE** – the price of the product at the moment the order was placed; this is a historical price that does not change after the order is confirmed【2†L1-L5】.  
* **LINE_AMT** – the extended amount for the line, calculated as quantity × unit price【2†L1-L5】.

Together these columns capture the product reference, the ordered quantity, the locked‑in price, and the resulting line total, and they are linked via foreign keys to the related **Sales Order** (ORDER_ID) and **Product** (PRODUCT_ID) records【5†L1-L5】."
AB-BEST,01_basics_ecommerce,replication-run3,Q005,How are payments linked to orders?,direct_mapping,easy,True,1.0,0.9231777955470523,20,proceed,adequate,0,True,"Each payment is associated with exactly one sales order through the ORDER_ID foreign key. Payments track the payment method, amount, status, and confirmation timestamp.","Payments are linked to orders through a foreign‑key relationship. The **PAYMENT** table contains the column **ORDER_ID**, and this column is defined as a foreign key that references **SALES_ORDER_HDR.ORDER_ID**【1†L1-L1】.  

Because of that relationship:

* each payment record is for exactly one sales order (“A Payment is for exactly one Sales Order”)【4†L7-L9】, and  
* a sales order can have one or more associated payment records, giving a one‑to‑many link from orders to payments【4†L2-L4】.  

Thus the link is **PAYMENT.ORDER_ID → SALES_ORDER_HDR.ORDER_ID**, establishing the connection between payments and their corresponding orders."
AB-BEST,01_basics_ecommerce,replication-run3,Q006,What statuses can an order have?,attribute_lookup,easy,True,1.0,0.21883627123404897,20,proceed,adequate,0,True,"Orders can have one of five statuses defined via CHECK constraint on SALES_ORDER_HDR.STATUS_CODE: PENDING (initial state when order is created), CONFIRMED (payment has been received), SHIPPED (dispatched to customer), DELIVERED (received by customer), or CANCELLED. The business glossary describes the same lifecycle under Sales Order.","The order’s current state is stored in the **STATUS_CODE** column of the **SALES_ORDER_HDR** table, which implements the “Sales Order” business concept【2】.  

The retrieved material does not enumerate the concrete values that can appear in this column (e.g., “Pending”, “Confirmed”, “Shipped”, etc.). Therefore, an order can have any status represented by the values stored in **SALES_ORDER_HDR.STATUS_CODE**, but the specific list of possible order‑status codes is not provided in the available context."
AB-BEST,01_basics_ecommerce,replication-run3,Q007,Which table stores the product SKU information?,direct_mapping,easy,True,1.0,0.9362850057480346,20,proceed,adequate,0,True,"The TB_PRODUCT table stores the SKU (Stock Keeping Unit) code for each product, along with product name, category, price, and active status.","The product SKU is stored in the **TB_PRODUCT** table, which includes a column named SKU【1】."
AB-BEST,01_basics_ecommerce,replication-run3,Q008,How can I find all orders placed by a specific customer?,multi_hop,medium,True,1.0,0.14282864911055923,20,proceed_with_warning,adequate,0,True,"Query the SALES_ORDER_HDR table filtering by CUST_ID. Each order has a foreign key reference to CUSTOMER_MASTER.CUST_ID, so joining these tables on CUST_ID will show all orders for a customer along with their details.","To locate every sales order that belongs to a particular customer you follow the foreign‑key link between **CUSTOMER_MASTER** and **SALES_ORDER_HDR**.

**Schema elements that define the link**

* **CUSTOMER_MASTER** stores the master record for each platform customer; its primary key is **CUST_ID** (INT)【1†L1-L4】.  
* **SALES_ORDER_HDR** implements the *Sales Order* concept and contains a column **CUST_ID** that records the customer who placed the order【5†L1-L4】.  
* The relationship is defined as a foreign key **CUST_ID → CUSTOMER_MASTER(CUST_ID)**【7†L1-L1】, and the business rule states “A Sales Order is placed by exactly one Customer”【2†L1-L2】.

**Schema‑level query**

```sql
SELECT
    so.ORDER_ID,
    so.ORDER_DATE,
    so.TOTAL_AMT,
    so.STATUS_CODE,
    so.PAYMENT_CONFIRMED_AT,
    so.DELIVERED_AT,
    so.CREATED_AT
FROM
    SALES_ORDER_HDR AS so
JOIN
    CUSTOMER_MASTER AS cm
      ON so.CUST_ID = cm.CUST_ID
WHERE
    cm.CUST_ID = <desired_customer_id>          -- or cm.EMAIL = 'user@example.com'
;
```

*The `JOIN` uses the foreign‑key `SALES_ORDER_HDR.CUST_ID → CUSTOMER_MASTER.CUST_ID`.  
*The `WHERE` clause identifies the specific customer, either by the primary key `CUST_ID` or by a unique attribute such as `EMAIL` from `CUSTOMER_MASTER`.

If you only need the order identifiers (or a subset of order columns) you can filter directly on the foreign‑key column without the join:

```sql
SELECT ORDER_ID, ORDER_DATE, TOTAL_AMT
FROM SALES_ORDER_HDR
WHERE CUST_ID = <desired_customer_id>;
```

Thus, by following the relationship `CUSTOMER_MASTER.CUST_ID └── SALES_ORDER_HDR.CUST_ID` you can retrieve all orders placed by any specific customer. The knowledge graph provides only the schema definitions; it does not contain the actual order or customer records."
AB-BEST,01_basics_ecommerce,replication-run3,Q009,How does the schema link orders to their individual product line items?,multi_hop,medium,True,1.0,0.7433543601649092,20,proceed,adequate,0,True,"The ORDER_LINE_ITEM table is the junction entity between SALES_ORDER_HDR and TB_PRODUCT. It contains ORDER_ID (foreign key to SALES_ORDER_HDR) and PRODUCT_ID (foreign key to TB_PRODUCT), allowing a single order to have multiple line items. Each line item also records QUANTITY (constrained to be > 0), UNIT_PRICE, and LINE_AMT.","The link is made through the **ORDER_LINE_ITEM** table, which stores each product line that belongs to a sales order.  

* **SALES_ORDER_HDR** is the order‑header table; its primary key is **ORDER_ID**.  
* **ORDER_LINE_ITEM** has its own primary key **LINE_ID** and a column **ORDER_ID** that is defined as a foreign‑key referencing **SALES_ORDER_HDR.ORDER_ID**【3†source】.  

Because **ORDER_LINE_ITEM.ORDER_ID → SALES_ORDER_HDR.ORDER_ID**, each line‑item row (identified by LINE_ID) is tied to exactly one sales order, while a single sales order can have many line‑item rows. This one‑to‑many relationship is also described in the business rules: “A Sales Order has one or more Order Line Items” and “An Order Line Item is part of exactly one Sales Order”【6†source】.  

Thus, the schema links orders to their individual product line items via the **ORDER_ID** foreign‑key in **ORDER_LINE_ITEM** that points to the **ORDER_ID** primary key in **SALES_ORDER_HDR**."
AB-BEST,01_basics_ecommerce,replication-run3,Q010,Show me the order hierarchy from customer to line items.,multi_hop,medium,True,1.0,0.3719347138931014,20,proceed,adequate,0,True,"The hierarchy is: Customer (CUSTOMER_MASTER) → SalesOrder (SALES_ORDER_HDR) → OrderLineItem (ORDER_LINE_ITEM) → Product (TB_PRODUCT). Each customer has orders, each order has line items, and each line item references a product.","**Order hierarchy (Customer → Sales Order → Order‑Line‑Item)**  

1. **Customer** – stored in the physical table **CUSTOMER_MASTER** (primary key **CUST_ID**)【8†L1-L4】.  

2. **Sales Order** – stored in **SALES_ORDER_HDR**. It contains a column **CUST_ID** that is a foreign key to **CUSTOMER_MASTER(CUST_ID)**, establishing the link “a Sales Order is placed by exactly one Customer”【1†L1-L2】【11†L1-L2】. The order’s primary key is **ORDER_ID**【9†L1-L2】.  

3. **Order Line Item** – stored in **ORDER_LINE_ITEM**. It has a column **ORDER_ID** that is a foreign key to **SALES_ORDER_HDR(ORDER_ID)**, implementing the rule “an Order Line Item is part of exactly one Sales Order”【1†L5-L6】【6†L1-L2】. Its primary key is **LINE_ID**【2†L1-L2】.  

**Join path that represents the hierarchy**

```sql
CUSTOMER_MASTER.CUST_ID = SALES_ORDER_HDR.CUST_ID
JOIN
SALES_ORDER_HDR.ORDER_ID = ORDER_LINE_ITEM.ORDER_ID
```

**Narrative flow**

- A **Customer** (record in CUSTOMER_MASTER) places a **Sales Order** (record in SALES_ORDER_HDR) via the foreign‑key `CUST_ID`.  
- That **Sales Order** can contain one or more **Order Line Items** (records in ORDER_LINE_ITEM) linked through the foreign‑key `ORDER_ID`.  

Thus the complete hierarchy from a customer down to the individual line items of its orders is:

**CUSTOMER_MASTER → SALES_ORDER_HDR → ORDER_LINE_ITEM**, connected by the foreign‑key chain `CUST_ID → CUSTOMER_MASTER(CUST_ID)` and `ORDER_ID → SALES_ORDER_HDR(ORDER_ID)`."
